Trade #,Bar Index,Type,Signal,Date/Time,Price VND,Contracts,Profit VND,Profit %,Cumulative profit VND,Cumulative profit %,Run-up VND,Run-up %,Drawdown VND,Drawdown %
1,8484,Entry long,Long,2022-01-04T09:15:00+0700,1545,1,1350000,0.87,0,0.00,1790000,1.16,30000,0.02
1,8501,Exit long,Close entry(s) order Long,2022-01-04T14:45:00+0700,1558.5,1,1350000,0.87,0,0.00,1790000,1.16,30000,0.02
2,8503,Entry long,Long,2022-01-05T09:15:00+0700,1556.9,1,-790000,-0.51,0,0.00,360000,0.23,880000,0.57
2,8520,Exit long,Close entry(s) order Long,2022-01-05T14:45:00+0700,1549,1,-790000,-0.51,0,0.00,360000,0.23,880000,0.57
3,8522,Entry long,Long,2022-01-06T09:15:00+0700,1544.2,1,90000,0.06,0,0.00,1270000,0.82,50000,0.03
3,8539,Exit long,Close entry(s) order Long,2022-01-06T14:45:00+0700,1545.1,1,90000,0.06,0,0.00,1270000,0.82,50000,0.03
4,8541,Entry long,Long,2022-01-07T09:15:00+0700,1545.8,1,-620000,-0.40,0,0.00,120000,0.08,1230000,0.80
4,8558,Exit long,Close entry(s) order Long,2022-01-07T14:45:00+0700,1539.6,1,-620000,-0.40,0,0.00,120000,0.08,1230000,0.80
5,8579,Entry long,Long,2022-01-11T09:15:00+0700,1515.8,1,-1220000,-0.80,0,0.00,280000,0.18,1610000,1.06
5,8596,Exit long,Close entry(s) order Long,2022-01-11T14:45:00+0700,1503.6,1,-1220000,-0.80,0,0.00,280000,0.18,1610000,1.06
6,8598,Entry long,Long,2022-01-12T09:15:00+0700,1493.7,1,3520000,2.36,0,0.00,3520000,2.36,740000,0.50
6,8615,Exit long,Close entry(s) order Long,2022-01-12T14:45:00+0700,1528.9,1,3520000,2.36,0,0.00,3520000,2.36,740000,0.50
7,8617,Entry long,Long,2022-01-13T09:15:00+0700,1534.1,1,-840000,-0.55,0,0.00,770000,0.50,1150000,0.75
7,8634,Exit long,Close entry(s) order Long,2022-01-13T14:45:00+0700,1525.7,1,-840000,-0.55,0,0.00,770000,0.50,1150000,0.75
8,8636,Entry long,Long,2022-01-14T09:15:00+0700,1518.7,1,140000,0.09,0,0.00,1340000,0.88,360000,0.24
8,8653,Exit long,Close entry(s) order Long,2022-01-14T14:45:00+0700,1520.1,1,140000,0.09,0,0.00,1340000,0.88,360000,0.24
9,8674,Entry long,Long,2022-01-18T09:15:00+0700,1479.3,1,320000,0.22,0,0.00,1020000,0.69,1180000,0.80
9,8691,Exit long,Close entry(s) order Long,2022-01-18T14:45:00+0700,1482.5,1,320000,0.22,0,0.00,1020000,0.69,1180000,0.80
10,8693,Entry long,Long,2022-01-19T09:15:00+0700,1486.1,1,-410000,-0.28,0,0.00,1030000,0.69,900000,0.61
10,8710,Exit long,Close entry(s) order Long,2022-01-19T14:45:00+0700,1482,1,-410000,-0.28,0,0.00,1030000,0.69,900000,0.61
11,8712,Entry long,Long,2022-01-20T09:15:00+0700,1483,1,960000,0.65,0,0.00,1280000,0.86,250000,0.17
11,8729,Exit long,Close entry(s) order Long,2022-01-20T14:45:00+0700,1492.6,1,960000,0.65,0,0.00,1280000,0.86,250000,0.17
12,8731,Entry long,Long,2022-01-21T09:15:00+0700,1493.6,1,530000,0.35,0,0.00,1020000,0.68,280000,0.19
12,8748,Exit long,Close entry(s) order Long,2022-01-21T14:45:00+0700,1498.9,1,530000,0.35,0,0.00,1020000,0.68,280000,0.19
13,8769,Entry long,Long,2022-01-25T09:15:00+0700,1468.8,1,3510000,2.39,0,0.00,3510000,2.39,280000,0.19
13,8786,Exit long,Close entry(s) order Long,2022-01-25T14:45:00+0700,1503.9,1,3510000,2.39,0,0.00,3510000,2.39,280000,0.19
14,8788,Entry long,Long,2022-01-26T09:15:00+0700,1512.9,1,610000,0.40,0,0.00,1200000,0.79,110000,0.07
14,8805,Exit long,Close entry(s) order Long,2022-01-26T14:45:00+0700,1519,1,610000,0.40,0,0.00,1200000,0.79,110000,0.07
15,8807,Entry long,Long,2022-01-27T09:15:00+0700,1511,1,100000,0.07,0,0.00,500000,0.33,1200000,0.79
15,8824,Exit long,Close entry(s) order Long,2022-01-27T14:45:00+0700,1512,1,100000,0.07,0,0.00,500000,0.33,1200000,0.79
16,8826,Entry long,Long,2022-01-28T09:15:00+0700,1520,1,800000,0.53,0,0.00,1430000,0.94,70000,0.05
16,8843,Exit long,Close entry(s) order Long,2022-01-28T14:45:00+0700,1528,1,800000,0.53,0,0.00,1430000,0.94,70000,0.05
17,8864,Entry long,Long,2022-02-08T09:15:00+0700,1530.4,1,510000,0.33,0,0.00,1320000,0.86,260000,0.17
17,8881,Exit long,Close entry(s) order Long,2022-02-08T14:45:00+0700,1535.5,1,510000,0.33,0,0.00,1320000,0.86,260000,0.17
18,8883,Entry long,Long,2022-02-09T09:15:00+0700,1543.1,1,-210000,-0.14,0,0.00,1270000,0.82,210000,0.14
18,8900,Exit long,Close entry(s) order Long,2022-02-09T14:45:00+0700,1541,1,-210000,-0.14,0,0.00,1270000,0.82,210000,0.14
19,8902,Entry long,Long,2022-02-10T09:15:00+0700,1540.7,1,180000,0.12,0,0.00,370000,0.24,1210000,0.79
19,8919,Exit long,Close entry(s) order Long,2022-02-10T14:45:00+0700,1542.5,1,180000,0.12,0,0.00,370000,0.24,1210000,0.79
20,8921,Entry long,Long,2022-02-11T09:15:00+0700,1539.4,1,360000,0.23,0,0.00,620000,0.40,440000,0.29
20,8938,Exit long,Close entry(s) order Long,2022-02-11T14:45:00+0700,1543,1,360000,0.23,0,0.00,620000,0.40,440000,0.29
21,8959,Entry long,Long,2022-02-15T09:15:00+0700,1513.2,1,880000,0.58,0,0.00,1410000,0.93,100000,0.07
21,8976,Exit long,Close entry(s) order Long,2022-02-15T14:45:00+0700,1522,1,880000,0.58,0,0.00,1410000,0.93,100000,0.07
22,8978,Entry long,Long,2022-02-16T09:15:00+0700,1530.8,1,-980000,-0.64,0,0.00,40000,0.03,1630000,1.06
22,8995,Exit long,Close entry(s) order Long,2022-02-16T14:45:00+0700,1521,1,-980000,-0.64,0,0.00,40000,0.03,1630000,1.06
23,8997,Entry long,Long,2022-02-17T09:15:00+0700,1522.5,1,1770000,1.16,0,0.00,1770000,1.16,10000,0.01
23,9014,Exit long,Close entry(s) order Long,2022-02-17T14:45:00+0700,1540.2,1,1770000,1.16,0,0.00,1770000,1.16,10000,0.01
24,9035,Entry long,Long,2022-02-22T09:15:00+0700,1514.7,1,280000,0.18,0,0.00,390000,0.26,1330000,0.88
24,9052,Exit long,Close entry(s) order Long,2022-02-22T14:45:00+0700,1517.5,1,280000,0.18,0,0.00,390000,0.26,1330000,0.88
25,9054,Entry long,Long,2022-02-23T09:15:00+0700,1528.1,1,120000,0.08,0,0.00,690000,0.45,190000,0.12
25,9071,Exit long,Close entry(s) order Long,2022-02-23T14:45:00+0700,1529.3,1,120000,0.08,0,0.00,690000,0.45,190000,0.12
26,9073,Entry long,Long,2022-02-24T09:15:00+0700,1520.4,1,-570000,-0.37,0,0.00,580000,0.38,1740000,1.14
26,9090,Exit long,Close entry(s) order Long,2022-02-24T14:45:00+0700,1514.7,1,-570000,-0.37,0,0.00,580000,0.38,1740000,1.14
27,9092,Entry long,Long,2022-02-25T09:15:00+0700,1527,1,-1000000,-0.65,0,0.00,290000,0.19,1000000,0.65
27,9109,Exit long,Close entry(s) order Long,2022-02-25T14:45:00+0700,1517,1,-1000000,-0.65,0,0.00,290000,0.19,1000000,0.65
28,9130,Entry long,Long,2022-03-01T09:15:00+0700,1516.7,1,-110000,-0.07,0,0.00,80000,0.05,440000,0.29
28,9147,Exit long,Close entry(s) order Long,2022-03-01T14:45:00+0700,1515.6,1,-110000,-0.07,0,0.00,80000,0.05,440000,0.29
29,9149,Entry long,Long,2022-03-02T09:15:00+0700,1512,1,-1000000,-0.66,0,0.00,10000,0.01,1610000,1.06
29,9166,Exit long,Close entry(s) order Long,2022-03-02T14:45:00+0700,1502,1,-1000000,-0.66,0,0.00,10000,0.01,1610000,1.06
30,9168,Entry long,Long,2022-03-03T09:15:00+0700,1507.9,1,960000,0.64,0,0.00,960000,0.64,510000,0.34
30,9185,Exit long,Close entry(s) order Long,2022-03-03T14:45:00+0700,1517.5,1,960000,0.64,0,0.00,960000,0.64,510000,0.34
31,9187,Entry long,Long,2022-03-04T09:15:00+0700,1516.3,1,-330000,-0.22,0,0.00,60000,0.04,630000,0.42
31,9204,Exit long,Close entry(s) order Long,2022-03-04T14:45:00+0700,1513,1,-330000,-0.22,0,0.00,60000,0.04,630000,0.42
32,9225,Entry long,Long,2022-03-08T09:15:00+0700,1496.7,1,-640000,-0.43,0,0.00,130000,0.09,1250000,0.84
32,9242,Exit long,Close entry(s) order Long,2022-03-08T14:45:00+0700,1490.3,1,-640000,-0.43,0,0.00,130000,0.09,1250000,0.84
33,9244,Entry long,Long,2022-03-09T09:15:00+0700,1494.8,1,-400000,-0.27,0,0.00,80000,0.05,860000,0.58
33,9261,Exit long,Close entry(s) order Long,2022-03-09T14:45:00+0700,1490.8,1,-400000,-0.27,0,0.00,80000,0.05,860000,0.58
34,9263,Entry long,Long,2022-03-10T09:15:00+0700,1500.3,1,-1030000,-0.69,0,0.00,100000,0.07,1030000,0.69
34,9280,Exit long,Close entry(s) order Long,2022-03-10T14:45:00+0700,1490,1,-1030000,-0.69,0,0.00,100000,0.07,1030000,0.69
35,9282,Entry long,Long,2022-03-11T09:15:00+0700,1486.4,1,-1040000,-0.70,0,0.00,60000,0.04,1510000,1.02
35,9299,Exit long,Close entry(s) order Long,2022-03-11T14:45:00+0700,1476,1,-1040000,-0.70,0,0.00,60000,0.04,1510000,1.02
36,9320,Entry long,Long,2022-03-15T09:15:00+0700,1461.2,1,330000,0.23,0,0.00,830000,0.57,320000,0.22
36,9337,Exit long,Close entry(s) order Long,2022-03-15T14:45:00+0700,1464.5,1,330000,0.23,0,0.00,830000,0.57,320000,0.22
37,9339,Entry long,Long,2022-03-16T09:15:00+0700,1470.5,1,130000,0.09,0,0.00,430000,0.29,530000,0.36
37,9356,Exit long,Close entry(s) order Long,2022-03-16T14:45:00+0700,1471.8,1,130000,0.09,0,0.00,430000,0.29,530000,0.36
38,9358,Entry long,Long,2022-03-17T09:15:00+0700,1476,1,-380000,-0.26,0,0.00,280000,0.19,780000,0.53
38,9375,Exit long,Close entry(s) order Long,2022-03-17T14:45:00+0700,1472.2,1,-380000,-0.26,0,0.00,280000,0.19,780000,0.53
39,9396,Entry long,Long,2022-03-22T09:15:00+0700,1497.9,1,210000,0.14,0,0.00,740000,0.49,380000,0.25
39,9413,Exit long,Close entry(s) order Long,2022-03-22T14:45:00+0700,1500,1,210000,0.14,0,0.00,740000,0.49,380000,0.25
