Trade #,Bar Index,Type,Signal,Date/Time,Price VND,Contracts,Profit VND,Profit %,Cumulative profit VND,Cumulative profit %,Run-up VND,Run-up %,Drawdown VND,Drawdown %
1,8502,Entry long,Long,2022-01-05T09:00:00+0700,1557.6,1,-860000,-0.55,0,0.00,290000,0.19,950000,0.61
1,8520,Exit long,Close entry(s) order Long,2022-01-05T14:45:00+0700,1549,1,-860000,-0.55,0,0.00,290000,0.19,950000,0.61
2,8540,Entry long,Long,2022-01-07T09:00:00+0700,1547.9,1,-830000,-0.54,0,0.00,10000,0.01,1440000,0.93
2,8558,Exit long,Close entry(s) order Long,2022-01-07T14:45:00+0700,1539.6,1,-830000,-0.54,0,0.00,10000,0.01,1440000,0.93
3,8597,Entry long,Long,2022-01-12T09:00:00+0700,1500.7,1,2820000,1.88,0,0.00,2820000,1.88,1440000,0.96
3,8615,Exit long,Close entry(s) order Long,2022-01-12T14:45:00+0700,1528.9,1,2820000,1.88,0,0.00,2820000,1.88,1440000,0.96
4,8635,Entry long,Long,2022-01-14T09:00:00+0700,1519.5,1,60000,0.04,0,0.00,1260000,0.83,440000,0.29
4,8653,Exit long,Close entry(s) order Long,2022-01-14T14:45:00+0700,1520.1,1,60000,0.04,0,0.00,1260000,0.83,440000,0.29
5,8692,Entry long,Long,2022-01-19T09:00:00+0700,1482.9,1,-90000,-0.06,0,0.00,1350000,0.91,580000,0.39
5,8710,Exit long,Close entry(s) order Long,2022-01-19T14:45:00+0700,1482,1,-90000,-0.06,0,0.00,1350000,0.91,580000,0.39
6,8730,Entry long,Long,2022-01-21T09:00:00+0700,1493,1,590000,0.40,0,0.00,1080000,0.72,220000,0.15
6,8748,Exit long,Close entry(s) order Long,2022-01-21T14:45:00+0700,1498.9,1,590000,0.40,0,0.00,1080000,0.72,220000,0.15
7,8787,Entry long,Long,2022-01-26T09:00:00+0700,1510,1,900000,0.60,0,0.00,1490000,0.99,90000,0.06
7,8805,Exit long,Close entry(s) order Long,2022-01-26T14:45:00+0700,1519,1,900000,0.60,0,0.00,1490000,0.99,90000,0.06
8,8825,Entry long,Long,2022-01-28T09:00:00+0700,1518,1,1000000,0.66,0,0.00,1630000,1.07,90000,0.06
8,8843,Exit long,Close entry(s) order Long,2022-01-28T14:45:00+0700,1528,1,1000000,0.66,0,0.00,1630000,1.07,90000,0.06
9,8882,Entry long,Long,2022-02-09T09:00:00+0700,1540,1,100000,0.06,0,0.00,1580000,1.03,0,0.00
9,8900,Exit long,Close entry(s) order Long,2022-02-09T14:45:00+0700,1541,1,100000,0.06,0,0.00,1580000,1.03,0,0.00
10,8920,Entry long,Long,2022-02-11T09:00:00+0700,1538.8,1,420000,0.27,0,0.00,680000,0.44,380000,0.25
10,8938,Exit long,Close entry(s) order Long,2022-02-11T14:45:00+0700,1543,1,420000,0.27,0,0.00,680000,0.44,380000,0.25
11,8977,Entry long,Long,2022-02-16T09:00:00+0700,1528,1,-700000,-0.46,0,0.00,430000,0.28,1350000,0.88
11,8995,Exit long,Close entry(s) order Long,2022-02-16T14:45:00+0700,1521,1,-700000,-0.46,0,0.00,430000,0.28,1350000,0.88
12,9015,Entry long,Long,2022-02-21T09:00:00+0700,1523.4,1,-590000,-0.39,0,0.00,810000,0.53,2200000,1.44
12,9052,Exit long,Close entry(s) order Long,2022-02-22T14:45:00+0700,1517.5,1,-590000,-0.39,0,0.00,810000,0.53,2200000,1.44
13,9072,Entry long,Long,2022-02-24T09:00:00+0700,1520,1,-530000,-0.35,0,0.00,620000,0.41,1700000,1.12
13,9090,Exit long,Close entry(s) order Long,2022-02-24T14:45:00+0700,1514.7,1,-530000,-0.35,0,0.00,620000,0.41,1700000,1.12
14,9110,Entry long,Long,2022-02-28T09:00:00+0700,1511.9,1,370000,0.24,0,0.00,660000,0.44,430000,0.28
14,9147,Exit long,Close entry(s) order Long,2022-03-01T14:45:00+0700,1515.6,1,370000,0.24,0,0.00,660000,0.44,430000,0.28
15,9167,Entry long,Long,2022-03-03T09:00:00+0700,1508.7,1,880000,0.58,0,0.00,880000,0.58,590000,0.39
15,9185,Exit long,Close entry(s) order Long,2022-03-03T14:45:00+0700,1517.5,1,880000,0.58,0,0.00,880000,0.58,590000,0.39
16,9205,Entry long,Long,2022-03-07T09:00:00+0700,1498,1,-770000,-0.51,0,0.00,980000,0.65,1380000,0.92
16,9242,Exit long,Close entry(s) order Long,2022-03-08T14:45:00+0700,1490.3,1,-770000,-0.51,0,0.00,980000,0.65,1380000,0.92
17,9262,Entry long,Long,2022-03-10T09:00:00+0700,1500.3,1,-1030000,-0.69,0,0.00,160000,0.11,1030000,0.69
17,9280,Exit long,Close entry(s) order Long,2022-03-10T14:45:00+0700,1490,1,-1030000,-0.69,0,0.00,160000,0.11,1030000,0.69
18,9300,Entry long,Long,2022-03-14T09:00:00+0700,1476,1,-1150000,-0.78,0,0.00,0,0.00,2000000,1.36
18,9337,Exit long,Close entry(s) order Long,2022-03-15T14:45:00+0700,1464.5,1,-1150000,-0.78,0,0.00,0,0.00,2000000,1.36
19,9357,Entry long,Long,2022-03-17T09:00:00+0700,1477.7,1,-550000,-0.37,0,0.00,110000,0.07,950000,0.64
19,9375,Exit long,Close entry(s) order Long,2022-03-17T14:45:00+0700,1472.2,1,-550000,-0.37,0,0.00,110000,0.07,950000,0.64
20,9414,Entry long,Long,2022-03-23T09:00:00+0700,1502.7,1,-550000,-0.37,0,0.00,750000,0.50,770000,0.51
20,9432,Exit long,Close entry(s) order Long,2022-03-23T14:45:00+0700,1497.2,1,-550000,-0.37,0,0.00,750000,0.50,770000,0.51
21,9452,Entry long,Long,2022-03-25T09:00:00+0700,1497,1,-300000,-0.20,0,0.00,0,0.00,880000,0.59
21,9470,Exit long,Close entry(s) order Long,2022-03-25T14:45:00+0700,1494,1,-300000,-0.20,0,0.00,0,0.00,880000,0.59
22,9509,Entry long,Long,2022-03-30T09:00:00+0700,1489.5,1,30000,0.02,0,0.00,1430000,0.96,340000,0.23
22,9527,Exit long,Close entry(s) order Long,2022-03-30T14:45:00+0700,1489.8,1,30000,0.02,0,0.00,1430000,0.96,340000,0.23
23,9547,Entry long,Long,2022-04-01T09:00:00+0700,1493,1,3200000,2.14,0,0.00,3500000,2.34,80000,0.05
23,9565,Exit long,Close entry(s) order Long,2022-04-01T14:45:00+0700,1525,1,3200000,2.14,0,0.00,3500000,2.34,80000,0.05
24,9604,Entry long,Long,2022-04-06T09:00:00+0700,1519,1,2130000,1.40,0,0.00,3140000,2.07,120000,0.08
24,9622,Exit long,Close entry(s) order Long,2022-04-06T14:45:00+0700,1540.3,1,2130000,1.40,0,0.00,3140000,2.07,120000,0.08
25,9642,Entry long,Long,2022-04-08T09:00:00+0700,1528.4,1,-450000,-0.29,0,0.00,680000,0.44,450000,0.29
25,9660,Exit long,Close entry(s) order Long,2022-04-08T14:45:00+0700,1523.9,1,-450000,-0.29,0,0.00,680000,0.44,450000,0.29
26,9680,Entry long,Long,2022-04-13T09:00:00+0700,1511.5,1,820000,0.54,0,0.00,970000,0.64,20000,0.01
26,9698,Exit long,Close entry(s) order Long,2022-04-13T14:45:00+0700,1519.7,1,820000,0.54,0,0.00,970000,0.64,20000,0.01
27,9718,Entry long,Long,2022-04-15T09:00:00+0700,1511.8,1,-1920000,-1.27,0,0.00,550000,0.36,1920000,1.27
27,9736,Exit long,Close entry(s) order Long,2022-04-15T14:45:00+0700,1492.6,1,-1920000,-1.27,0,0.00,550000,0.36,1920000,1.27
28,9774,Entry long,Long,2022-04-20T09:00:00+0700,1460,1,-2100000,-1.44,0,0.00,60000,0.04,2700000,1.85
28,9791,Exit long,Close entry(s) order Long,2022-04-20T14:45:00+0700,1439,1,-2100000,-1.44,0,0.00,60000,0.04,2700000,1.85
29,9810,Entry long,Long,2022-04-22T09:00:00+0700,1441.7,1,330000,0.23,0,0.00,1770000,1.23,670000,0.46
29,9828,Exit long,Close entry(s) order Long,2022-04-22T14:45:00+0700,1445,1,330000,0.23,0,0.00,1770000,1.23,670000,0.46
30,9867,Entry long,Long,2022-04-27T09:00:00+0700,1379,1,2200000,1.60,0,0.00,2650000,1.92,1980000,1.44
30,9885,Exit long,Close entry(s) order Long,2022-04-27T14:45:00+0700,1401,1,2200000,1.60,0,0.00,2650000,1.92,1980000,1.44
31,9905,Entry long,Long,2022-04-29T09:00:00+0700,1395,1,1400000,1.00,0,0.00,2590000,1.86,530000,0.38
31,9923,Exit long,Close entry(s) order Long,2022-04-29T14:45:00+0700,1409,1,1400000,1.00,0,0.00,2590000,1.86,530000,0.38
32,9943,Entry long,Long,2022-05-05T09:00:00+0700,1391,1,1150000,0.83,0,0.00,1230000,0.88,1820000,1.31
32,9961,Exit long,Close entry(s) order Long,2022-05-05T14:45:00+0700,1402.5,1,1150000,0.83,0,0.00,1230000,0.88,1820000,1.31
33,9981,Entry long,Long,2022-05-09T09:00:00+0700,1353.1,1,-1810000,-1.34,0,0.00,270000,0.20,6190000,4.57
33,10018,Exit long,Close entry(s) order Long,2022-05-10T14:45:00+0700,1335,1,-1810000,-1.34,0,0.00,270000,0.20,6190000,4.57
34,10038,Entry long,Long,2022-05-12T09:00:00+0700,1333.8,1,-6380000,-4.78,0,0.00,20000,0.01,7120000,5.34
34,10056,Exit long,Close entry(s) order Long,2022-05-12T14:45:00+0700,1270,1,-6380000,-4.78,0,0.00,20000,0.01,7120000,5.34
35,10076,Entry long,Long,2022-05-16T09:00:00+0700,1238.6,1,4230000,3.42,0,0.00,4420000,3.57,3370000,2.72
35,10113,Exit long,Close entry(s) order Long,2022-05-17T14:45:00+0700,1280.9,1,4230000,3.42,0,0.00,4420000,3.57,3370000,2.72
36,10133,Entry long,Long,2022-05-19T09:00:00+0700,1254.3,1,2870000,2.29,0,0.00,3760000,3.00,230000,0.18
36,10151,Exit long,Close entry(s) order Long,2022-05-19T14:45:00+0700,1283,1,2870000,2.29,0,0.00,3760000,3.00,230000,0.18
37,10171,Entry long,Long,2022-05-23T09:00:00+0700,1289,1,-2200000,-1.71,0,0.00,0,0.00,5490000,4.26
37,10208,Exit long,Close entry(s) order Long,2022-05-24T14:45:00+0700,1267,1,-2200000,-1.71,0,0.00,0,0.00,5490000,4.26
38,10228,Entry long,Long,2022-05-26T09:00:00+0700,1302.1,1,-120000,-0.09,0,0.00,790000,0.61,1000000,0.77
38,10246,Exit long,Close entry(s) order Long,2022-05-26T14:45:00+0700,1300.9,1,-120000,-0.09,0,0.00,790000,0.61,1000000,0.77
39,10266,Entry long,Long,2022-05-30T09:00:00+0700,1329.7,1,-920000,-0.69,0,0.00,90000,0.07,1890000,1.42
