Trade #,Bar Index,Type,Signal,Date/Time,Price VND,Contracts,Profit VND,Profit %,Cumulative profit VND,Cumulative profit %,Run-up VND,Run-up %,Drawdown VND,Drawdown %
1,43,Entry long,Long,2020-03-31T10:15:00+0700,598.7,1,-3210000,-5.36,-3210000,-321.00,350000,0.58,3860000,6.45
1,52,Exit long,Short,2020-03-31T13:45:00+0700,566.6,1,-3210000,-5.36,-3210000,-321.00,350000,0.58,3860000,6.45
2,52,Entry short,Short,2020-03-31T13:45:00+0700,566.6,1,-3070000,-5.42,-6280000,-628.00,60000,0.11,3070000,5.42
2,63,Exit short,Long,2020-04-01T10:30:00+0700,597.3,1,-3070000,-5.42,-6280000,-628.00,60000,0.11,3070000,5.42
3,63,Entry long,Long,2020-04-01T10:30:00+0700,597.3,1,6540000,10.95,260000,26.00,8470000,14.18,1830000,3.06
3,137,Exit long,Short,2020-04-08T10:15:00+0700,662.7,1,6540000,10.95,260000,26.00,8470000,14.18,1830000,3.06
4,137,Entry short,Short,2020-04-08T10:15:00+0700,662.7,1,-1830000,-2.76,-1570000,-157.00,520000,0.78,1230000,1.86
4,151,Exit short,Long,2020-04-09T09:00:00+0700,681,1,-1830000,-2.76,-1570000,-157.00,520000,0.78,1230000,1.86
5,151,Entry long,Long,2020-04-09T09:00:00+0700,681,1,-270000,-0.40,-1840000,-184.00,840000,1.23,640000,0.94
5,174,Exit long,Short,2020-04-10T10:00:00+0700,678.3,1,-270000,-0.40,-1840000,-184.00,840000,1.23,640000,0.94
6,174,Entry short,Short,2020-04-10T10:00:00+0700,678.3,1,-470000,-0.69,-2310000,-231.00,40000,0.06,570000,0.84
6,181,Exit short,Long,2020-04-10T13:00:00+0700,683,1,-470000,-0.69,-2310000,-231.00,40000,0.06,570000,0.84
7,181,Entry long,Long,2020-04-10T13:00:00+0700,683,1,-550000,-0.81,-2860000,-286.00,290000,0.42,690000,1.01
7,184,Exit long,Short,2020-04-10T13:45:00+0700,677.5,1,-550000,-0.81,-2860000,-286.00,290000,0.42,690000,1.01
8,184,Entry short,Short,2020-04-10T13:45:00+0700,677.5,1,-500000,-0.74,-3360000,-336.00,540000,0.80,620000,0.92
8,192,Exit short,Long,2020-04-13T09:45:00+0700,682.5,1,-500000,-0.74,-3360000,-336.00,540000,0.80,620000,0.92
9,192,Entry long,Long,2020-04-13T09:45:00+0700,682.5,1,950000,1.39,-2410000,-241.00,1680000,2.46,0,0.00
9,222,Exit long,Short,2020-04-14T13:45:00+0700,692,1,950000,1.39,-2410000,-241.00,1680000,2.46,0,0.00
10,222,Entry short,Short,2020-04-14T13:45:00+0700,692,1,-670000,-0.97,-3080000,-308.00,50000,0.07,700000,1.01
10,224,Exit short,Long,2020-04-14T14:15:00+0700,698.7,1,-670000,-0.97,-3080000,-308.00,50000,0.07,700000,1.01
11,224,Entry long,Long,2020-04-14T14:15:00+0700,698.7,1,1930000,2.76,-1150000,-115.00,2960000,4.24,100000,0.14
11,271,Exit long,Short,2020-04-17T10:30:00+0700,718,1,1930000,2.76,-1150000,-115.00,2960000,4.24,100000,0.14
12,271,Entry short,Short,2020-04-17T10:30:00+0700,718,1,3740000,5.21,2590000,259.00,5880000,8.19,250000,0.35
12,336,Exit short,Long,2020-04-22T13:45:00+0700,680.6,1,3740000,5.21,2590000,259.00,5880000,8.19,250000,0.35
13,336,Entry long,Long,2020-04-22T13:45:00+0700,680.6,1,-60000,-0.09,2530000,253.00,1520000,2.23,170000,0.25
13,360,Exit long,Short,2020-04-24T09:00:00+0700,680,1,-60000,-0.09,2530000,253.00,1520000,2.23,170000,0.25
14,360,Entry short,Short,2020-04-24T09:00:00+0700,680,1,-250000,-0.37,2280000,228.00,500000,0.74,750000,1.10
14,372,Exit short,Long,2020-04-24T13:15:00+0700,682.5,1,-250000,-0.37,2280000,228.00,500000,0.74,750000,1.10
15,372,Entry long,Long,2020-04-24T13:15:00+0700,682.5,1,1010000,1.48,3290000,329.00,2750000,4.03,0,0.00
15,395,Exit long,Short,2020-04-27T14:15:00+0700,692.6,1,1010000,1.48,3290000,329.00,2750000,4.03,0,0.00
16,395,Entry short,Short,2020-04-27T14:15:00+0700,692.6,1,-630000,-0.91,2660000,266.00,840000,1.21,880000,1.27
16,415,Exit short,Long,2020-04-28T14:30:00+0700,698.9,1,-630000,-0.91,2660000,266.00,840000,1.21,880000,1.27
17,415,Entry long,Long,2020-04-28T14:30:00+0700,698.9,1,-1400000,-2.00,1260000,126.00,710000,1.02,1890000,2.70
17,438,Exit long,Short,2020-05-04T09:30:00+0700,684.9,1,-1400000,-2.00,1260000,126.00,710000,1.02,1890000,2.70
18,438,Entry short,Short,2020-05-04T09:30:00+0700,684.9,1,-960000,-1.40,300000,30.00,90000,0.13,1070000,1.56
18,461,Exit short,Long,2020-05-05T10:30:00+0700,694.5,1,-960000,-1.40,300000,30.00,90000,0.13,1070000,1.56
