Trade #,Bar Index,Type,Signal,Date/Time,Price VND,Contracts,Profit VND,Profit %,Cumulative profit VND,Cumulative profit %,Run-up VND,Run-up %,Drawdown VND,Drawdown %
1,45,Entry long,My Long Entry Id,2020-03-31T10:45:00+0700,598.5,1,46340000,77.43,46340000,4634.00,58813333,98.27,21694957,36.25
1,12109,Exit long,Exit,2022-10-14T09:00:00+0700,1061.9,1,46340000,77.43,46340000,4634.00,58813333,98.27,21694957,36.25
2,68,Entry long,My Long Entry Id,2020-04-01T13:00:00+0700,585.5,1,0,0.00,0,0.00,0,0.00,0,0.00
2,27571,Exit long,Open,2026-02-12T14:45:00+0700,2021,1,1436,245.18,1436,245.18,1436,245.18,0,0.00
3,154,Entry long,My Long Entry Id,2020-04-09T09:45:00+0700,681.3,1,0,0.00,0,0.00,0,0.00,0,0.00
3,27571,Exit long,Open,2026-02-12T14:45:00+0700,2021,1,1340,196.64,1340,196.64,1340,196.64,0,0.00
4,193,Entry long,My Long Entry Id,2020-04-13T10:00:00+0700,683.9,1,0,0.00,0,0.00,0,0.00,0,0.00
4,27571,Exit long,Open,2026-02-12T14:45:00+0700,2021,1,1337,195.51,1337,195.51,1337,195.51,0,0.00
5,338,Entry long,My Long Entry Id,2020-04-22T14:15:00+0700,683.8,1,0,0.00,0,0.00,0,0.00,0,0.00
5,27571,Exit long,Open,2026-02-12T14:45:00+0700,2021,1,1337,195.55,1337,195.55,1337,195.55,0,0.00
6,377,Entry long,My Long Entry Id,2020-04-24T14:30:00+0700,696.5,1,0,0.00,0,0.00,0,0.00,0,0.00
6,27571,Exit long,Open,2026-02-12T14:45:00+0700,2021,1,1324,190.17,1324,190.17,1324,190.17,0,0.00
7,417,Entry long,My Long Entry Id,2020-04-29T09:00:00+0700,695.8,1,0,0.00,0,0.00,0,0.00,0,0.00
7,27571,Exit long,Open,2026-02-12T14:45:00+0700,2021,1,1325,190.46,1325,190.46,1325,190.46,0,0.00
8,464,Entry long,My Long Entry Id,2020-05-05T11:15:00+0700,693.4,1,0,0.00,0,0.00,0,0.00,0,0.00
8,27571,Exit long,Open,2026-02-12T14:45:00+0700,2021,1,1328,191.46,1328,191.46,1328,191.46,0,0.00
9,545,Entry long,My Long Entry Id,2020-05-11T13:45:00+0700,753.8,1,0,0.00,0,0.00,0,0.00,0,0.00
9,27571,Exit long,Open,2026-02-12T14:45:00+0700,2021,1,1267,168.11,1267,168.11,1267,168.11,0,0.00
10,550,Entry long,My Long Entry Id,2020-05-12T09:00:00+0700,759,1,0,0.00,0,0.00,0,0.00,0,0.00
10,27571,Exit long,Open,2026-02-12T14:45:00+0700,2021,1,1262,166.27,1262,166.27,1262,166.27,0,0.00
11,575,Entry long,My Long Entry Id,2020-05-13T10:30:00+0700,762.3,1,0,0.00,0,0.00,0,0.00,0,0.00
11,27571,Exit long,Open,2026-02-12T14:45:00+0700,2021,1,1259,165.12,1259,165.12,1259,165.12,0,0.00
12,608,Entry long,My Long Entry Id,2020-05-15T09:15:00+0700,775.6,1,0,0.00,0,0.00,0,0.00,0,0.00
12,27571,Exit long,Open,2026-02-12T14:45:00+0700,2021,1,1245,160.57,1245,160.57,1245,160.57,0,0.00
13,637,Entry long,My Long Entry Id,2020-05-18T13:00:00+0700,777,1,0,0.00,0,0.00,0,0.00,0,0.00
13,27571,Exit long,Open,2026-02-12T14:45:00+0700,2021,1,1244,160.10,1244,160.10,1244,160.10,0,0.00
14,684,Entry long,My Long Entry Id,2020-05-21T09:15:00+0700,807.7,1,0,0.00,0,0.00,0,0.00,0,0.00
14,27571,Exit long,Open,2026-02-12T14:45:00+0700,2021,1,1213,150.22,1213,150.22,1213,150.22,0,0.00
15,735,Entry long,My Long Entry Id,2020-05-25T13:45:00+0700,780.4,1,0,0.00,0,0.00,0,0.00,0,0.00
15,27571,Exit long,Open,2026-02-12T14:45:00+0700,2021,1,1241,158.97,1241,158.97,1241,158.97,0,0.00
16,818,Entry long,My Long Entry Id,2020-06-01T09:30:00+0700,796,1,0,0.00,0,0.00,0,0.00,0,0.00
16,27571,Exit long,Open,2026-02-12T14:45:00+0700,2021,1,1225,153.89,1225,153.89,1225,153.89,0,0.00
17,856,Entry long,My Long Entry Id,2020-06-03T09:30:00+0700,816.7,1,0,0.00,0,0.00,0,0.00,0,0.00
17,27571,Exit long,Open,2026-02-12T14:45:00+0700,2021,1,1204,147.46,1204,147.46,1204,147.46,0,0.00
18,911,Entry long,My Long Entry Id,2020-06-08T09:00:00+0700,831.5,1,0,0.00,0,0.00,0,0.00,0,0.00
18,27571,Exit long,Open,2026-02-12T14:45:00+0700,2021,1,1190,143.05,1190,143.05,1190,143.05,0,0.00
19,966,Entry long,My Long Entry Id,2020-06-10T14:30:00+0700,839.6,1,0,0.00,0,0.00,0,0.00,0,0.00
19,27571,Exit long,Open,2026-02-12T14:45:00+0700,2021,1,1181,140.71,1181,140.71,1181,140.71,0,0.00
20,1010,Entry long,My Long Entry Id,2020-06-15T10:00:00+0700,800.3,1,0,0.00,0,0.00,0,0.00,0,0.00
20,27571,Exit long,Open,2026-02-12T14:45:00+0700,2021,1,1221,152.53,1221,152.53,1221,152.53,0,0.00
