Trade #,Bar Index,Type,Signal,Date/Time,Price VND,Contracts,Profit VND,Profit %,Cumulative profit VND,Cumulative profit %,Run-up VND,Run-up %,Drawdown VND,Drawdown %
1,45,Entry long,My Long Entry ID <pynecore.lib.strategy.opentrades.OpenTradesModule object at 0x74540dc0a660>,2020-03-31T10:45:00+0700,598.5,1,12720000,21.25,12720000,1272.00,12980000,21.69,3840000,6.42
1,501,Exit long,Close position order,2020-05-07T11:00:00+0700,725.7,1,12720000,21.25,12720000,1272.00,12980000,21.69,3840000,6.42
2,545,Entry long,My Long Entry ID <pynecore.lib.strategy.opentrades.OpenTradesModule object at 0x74540dc0a660>,2020-05-11T13:45:00+0700,753.8,1,4200000,5.57,16920000,1692.00,11020000,14.62,550000,0.73
2,1001,Exit long,Close position order,2020-06-12T13:45:00+0700,795.8,1,4200000,5.57,16920000,1692.00,11020000,14.62,550000,0.73
3,1010,Entry long,My Long Entry ID <pynecore.lib.strategy.opentrades.OpenTradesModule object at 0x74540dc0a660>,2020-06-15T10:00:00+0700,800.3,1,-80000,-0.10,16840000,1684.00,2170000,2.71,4930000,6.16
3,1501,Exit long,Close position order,2020-07-21T09:15:00+0700,799.5,1,-80000,-0.10,16840000,1684.00,2170000,2.71,4930000,6.16
4,1521,Entry long,My Long Entry ID <pynecore.lib.strategy.opentrades.OpenTradesModule object at 0x74540dc0a660>,2020-07-22T09:30:00+0700,803.8,1,1190000,1.48,18030000,1803.00,2070000,2.58,10520000,13.09
4,2001,Exit long,Close position order,2020-08-26T10:45:00+0700,815.7,1,1190000,1.48,18030000,1803.00,2070000,2.58,10520000,13.09
5,2032,Entry long,My Long Entry ID <pynecore.lib.strategy.opentrades.OpenTradesModule object at 0x74540dc0a660>,2020-08-28T09:00:00+0700,822.3,1,3660000,4.45,21690000,2169.00,4570000,5.56,730000,0.89
5,2501,Exit long,Close position order,2020-10-02T13:30:00+0700,858.9,1,3660000,4.45,21690000,2169.00,4570000,5.56,730000,0.89
6,2516,Entry long,My Long Entry ID <pynecore.lib.strategy.opentrades.OpenTradesModule object at 0x74540dc0a660>,2020-10-05T11:15:00+0700,866.2,1,6830000,7.89,28520000,2852.00,8330000,9.62,220000,0.25
6,3001,Exit long,Close position order,2020-11-10T09:00:00+0700,934.5,1,6830000,7.89,28520000,2852.00,8330000,9.62,220000,0.25
7,3046,Entry long,My Long Entry ID <pynecore.lib.strategy.opentrades.OpenTradesModule object at 0x74540dc0a660>,2020-11-12T10:45:00+0700,924.7,1,9980000,10.79,38500000,3850.00,10270000,11.11,870000,0.94
7,3501,Exit long,Close position order,2020-12-16T10:30:00+0700,1024.5,1,9980000,10.79,38500000,3850.00,10270000,11.11,870000,0.94
