Trade #,Bar Index,Type,Signal,Date/Time,Price VND,Contracts,Profit VND,Profit %,Cumulative profit VND,Cumulative profit %,Run-up VND,Run-up %,Drawdown VND,Drawdown %
1,1,Entry long,Long,2020-03-27T09:15:00+0700,631.6,1,-4641800,-7.35,-4641800,-464.18,276840,0.44,4773160,7.56
1,21,Exit long,Close entry(s) order Long,2020-03-30T09:30:00+0700,586.4,1,-4641800,-7.35,-4641800,-464.18,276840,0.44,4773160,7.56
2,31,Entry long,Long,2020-03-30T13:15:00+0700,590.4,1,521280,0.88,-4120520,-412.05,790960,1.34,929040,1.57
2,41,Exit long,Close entry(s) order Long,2020-03-31T09:45:00+0700,596.8,1,521280,0.88,-4120520,-412.05,790960,1.34,929040,1.57
3,46,Entry long,Long,2020-03-31T11:00:00+0700,599,1,-839080,-1.40,-4959600,-495.96,260100,0.43,3949900,6.59
3,61,Exit long,Close entry(s) order Long,2020-04-01T10:00:00+0700,591.8,1,-839080,-1.40,-4959600,-495.96,260100,0.43,3949900,6.59
4,76,Entry long,Long,2020-04-03T09:00:00+0700,603.8,1,198920,0.33,-4760680,-476.07,739620,1.22,70380,0.12
4,81,Exit long,Close entry(s) order Long,2020-04-03T10:15:00+0700,607,1,198920,0.33,-4760680,-476.07,739620,1.22,70380,0.12
5,91,Entry long,Long,2020-04-03T14:00:00+0700,612.2,1,2804630,4.58,-1956050,-195.61,3218780,5.26,281220,0.46
5,101,Exit long,Close entry(s) order Long,2020-04-06T10:30:00+0700,641.5,1,2804630,4.58,-1956050,-195.61,3218780,5.26,281220,0.46
6,106,Entry long,Long,2020-04-06T13:00:00+0700,643.7,1,1669460,2.59,-286590,-28.66,3365630,5.23,64370,0.10
6,121,Exit long,Close entry(s) order Long,2020-04-07T11:00:00+0700,661.7,1,1669460,2.59,-286590,-28.66,3365630,5.23,64370,0.10
7,136,Entry long,Long,2020-04-08T10:00:00+0700,660.7,1,-22250,-0.03,-308840,-30.88,353930,0.54,276070,0.42
7,141,Exit long,Close entry(s) order Long,2020-04-08T11:15:00+0700,661.8,1,-22250,-0.03,-308840,-30.88,353930,0.54,276070,0.42
8,151,Entry long,Long,2020-04-09T09:00:00+0700,681,1,-116220,-0.17,-425060,-42.51,321900,0.47,368100,0.54
8,161,Exit long,Close entry(s) order Long,2020-04-09T11:30:00+0700,681.2,1,-116220,-0.17,-425060,-42.51,321900,0.47,368100,0.54
9,166,Entry long,Long,2020-04-09T14:00:00+0700,683.3,1,-166630,-0.24,-591690,-59.17,41670,0.06,938330,1.37
9,181,Exit long,Close entry(s) order Long,2020-04-10T13:00:00+0700,683,1,-166630,-0.24,-591690,-59.17,41670,0.06,938330,1.37
10,196,Entry long,Long,2020-04-13T10:45:00+0700,693.9,1,-288630,-0.42,-880320,-88.03,0,0.00,779390,1.12
10,201,Exit long,Close entry(s) order Long,2020-04-13T13:15:00+0700,692.4,1,-288630,-0.42,-880320,-88.03,0,0.00,779390,1.12
11,211,Entry long,Long,2020-04-14T09:45:00+0700,697.6,1,-668990,-0.96,-1549310,-154.93,0,0.00,1019760,1.46
11,221,Exit long,Close entry(s) order Long,2020-04-14T13:30:00+0700,692.3,1,-668990,-0.96,-1549310,-154.93,0,0.00,1019760,1.46
12,226,Entry long,Long,2020-04-14T14:45:00+0700,705.2,1,937880,1.33,-611430,-61.14,1359480,1.93,70520,0.10
12,241,Exit long,Close entry(s) order Long,2020-04-15T13:45:00+0700,716,1,937880,1.33,-611430,-61.14,1359480,1.93,70520,0.10
13,256,Entry long,Long,2020-04-16T11:30:00+0700,721.1,1,-124240,-0.17,-735670,-73.57,647890,0.90,182110,0.25
13,261,Exit long,Close entry(s) order Long,2020-04-16T14:00:00+0700,721.3,1,-124240,-0.17,-735670,-73.57,647890,0.90,182110,0.25
14,271,Entry long,Long,2020-04-17T10:30:00+0700,718,1,-643100,-0.90,-1378770,-137.88,178200,0.25,701800,0.98
14,281,Exit long,Close entry(s) order Long,2020-04-17T14:15:00+0700,713,1,-643100,-0.90,-1378770,-137.88,178200,0.25,701800,0.98
15,286,Entry long,Long,2020-04-20T09:30:00+0700,716.7,1,-502980,-0.70,-1881750,-188.18,0,0.00,561670,0.78
