Trade #,Bar Index,Type,Signal,Date/Time,Price VND,Contracts,Profit VND,Profit %,Cumulative profit VND,Cumulative profit %,Run-up VND,Run-up %,Drawdown VND,Drawdown %
1,76,Entry long,602.97,2020-04-03T09:00:00+0700,603.8,1,7750000,12.84,7750000,775.00,7850000,13.00,30000,0.05
1,154,Exit long,EXIT,2020-04-09T09:45:00+0700,681.3,1,7750000,12.84,7750000,775.00,7850000,13.00,30000,0.05
2,194,Entry long,689.325,2020-04-13T10:15:00+0700,689.4,1,-100000,-0.15,7650000,765.00,10000,0.01,470000,0.68
2,195,Exit long,EXIT,2020-04-13T10:30:00+0700,688.4,1,-100000,-0.15,7650000,765.00,10000,0.01,470000,0.68
3,341,Entry long,692.86,2020-04-23T09:00:00+0700,692.9,1,110000,0.16,7760000,776.00,210000,0.30,190000,0.27
3,342,Exit long,EXIT,2020-04-23T09:15:00+0700,694,1,110000,0.16,7760000,776.00,210000,0.30,190000,0.27
4,379,Entry long,698.415,2020-04-27T09:00:00+0700,706.9,1,-1110000,-1.57,6650000,665.00,310000,0.44,2270000,3.21
4,417,Exit long,EXIT,2020-04-29T09:00:00+0700,695.8,1,-1110000,-1.57,6650000,665.00,310000,0.44,2270000,3.21
5,474,Entry long,698.213,2020-05-06T09:00:00+0700,698.3,1,-40000,-0.06,6610000,661.00,10000,0.01,290000,0.42
5,475,Exit long,EXIT,2020-05-06T09:15:00+0700,697.9,1,-40000,-0.06,6610000,661.00,10000,0.01,290000,0.42
6,546,Entry long,762.954,2020-05-11T14:00:00+0700,763,1,0,0.00,6610000,661.00,10000,0.01,790000,1.04
6,547,Exit long,EXIT,2020-05-11T14:15:00+0700,763,1,0,0.00,6610000,661.00,10000,0.01,790000,1.04
7,576,Entry long,766.994,2020-05-13T10:45:00+0700,767,1,0,0.00,6610000,661.00,250000,0.33,300000,0.39
7,577,Exit long,EXIT,2020-05-13T11:00:00+0700,767,1,0,0.00,6610000,661.00,250000,0.33,300000,0.39
8,644,Entry long,784.77,2020-05-18T14:45:00+0700,788,1,1970000,2.50,8580000,858.00,2560000,3.25,0,0.00
8,684,Exit long,EXIT,2020-05-21T09:15:00+0700,807.7,1,1970000,2.50,8580000,858.00,2560000,3.25,0,0.00
9,740,Entry long,787.8,2020-05-26T09:00:00+0700,790,1,600000,0.76,9180000,918.00,2280000,2.89,1360000,1.72
9,818,Exit long,EXIT,2020-06-01T09:30:00+0700,796,1,600000,0.76,9180000,918.00,2280000,2.89,1360000,1.72
10,910,Entry long,824.059,2020-06-05T14:45:00+0700,825,1,650000,0.79,9830000,983.00,0,0.00,0,0.00
10,911,Exit long,EXIT,2020-06-08T09:00:00+0700,831.5,1,650000,0.79,9830000,983.00,0,0.00,0,0.00
11,1267,Entry long,775.074,2020-07-02T13:45:00+0700,775.1,1,-140000,-0.18,9690000,969.00,60000,0.08,370000,0.48
11,1268,Exit long,EXIT,2020-07-02T14:00:00+0700,773.7,1,-140000,-0.18,9690000,969.00,60000,0.08,370000,0.48
12,1354,Entry long,809.818,2020-07-09T10:30:00+0700,809.9,1,-120000,-0.15,9570000,957.00,60000,0.07,130000,0.16
12,1355,Exit long,EXIT,2020-07-09T10:45:00+0700,808.7,1,-120000,-0.15,9570000,957.00,60000,0.07,130000,0.16
13,1424,Entry long,814.363,2020-07-15T09:00:00+0700,815,1,-150000,-0.18,9420000,942.00,50000,0.06,200000,0.25
13,1426,Exit long,EXIT,2020-07-15T09:30:00+0700,813.5,1,-150000,-0.18,9420000,942.00,50000,0.06,200000,0.25
14,1610,Entry long,743.966,2020-07-28T14:00:00+0700,744,1,60000,0.08,9480000,948.00,100000,0.13,600000,0.81
14,1611,Exit long,EXIT,2020-07-28T14:15:00+0700,744.6,1,60000,0.08,9480000,948.00,100000,0.13,600000,0.81
15,1646,Entry long,740.532,2020-07-30T13:30:00+0700,740.6,1,-390000,-0.53,9090000,909.00,0,0.00,760000,1.03
