Trade #,Bar Index,Type,Signal,Date/Time,Price VND,Contracts,Profit VND,Profit %,Cumulative profit VND,Cumulative profit %,Run-up VND,Run-up %,Drawdown VND,Drawdown %
1,37,Entry long,Long,2020-03-30T14:45:00+0700,583,1,1500000,2.57,1500000,150.00,1900000,3.26,0,0.00
1,44,Exit long,Close entry(s) order Long,2020-03-31T10:30:00+0700,598,1,1500000,2.57,1500000,150.00,1900000,3.26,0,0.00
2,59,Entry long,Long,2020-04-01T09:30:00+0700,587,1,-150000,-0.26,1350000,135.00,1400000,2.39,130000,0.22
2,68,Exit long,Close entry(s) order Long,2020-04-01T13:00:00+0700,585.5,1,-150000,-0.26,1350000,135.00,1400000,2.39,130000,0.22
3,73,Entry long,Long,2020-04-01T14:15:00+0700,596.8,1,-680000,-1.14,670000,67.00,10000,0.02,450000,0.75
3,75,Exit long,Close entry(s) order Long,2020-04-01T14:45:00+0700,590,1,-680000,-1.14,670000,67.00,10000,0.02,450000,0.75
4,105,Entry long,Long,2020-04-06T11:30:00+0700,643.2,1,1840000,2.86,2510000,251.00,3480000,5.41,0,0.00
4,122,Exit long,Close entry(s) order Long,2020-04-07T11:15:00+0700,661.6,1,1840000,2.86,2510000,251.00,3480000,5.41,0,0.00
5,125,Entry long,Long,2020-04-07T13:15:00+0700,666,1,1100000,1.65,3610000,361.00,1600000,2.40,50000,0.08
5,131,Exit long,Close entry(s) order Long,2020-04-07T14:45:00+0700,677,1,1100000,1.65,3610000,361.00,1600000,2.40,50000,0.08
6,138,Entry long,Long,2020-04-08T10:30:00+0700,664.3,1,-180000,-0.27,3430000,343.00,10000,0.02,370000,0.56
6,140,Exit long,Close entry(s) order Long,2020-04-08T11:00:00+0700,662.5,1,-180000,-0.27,3430000,343.00,10000,0.02,370000,0.56
7,148,Entry long,Long,2020-04-08T14:15:00+0700,668.6,1,1260000,1.88,4690000,469.00,1630000,2.44,90000,0.13
7,161,Exit long,Close entry(s) order Long,2020-04-09T11:30:00+0700,681.2,1,1260000,1.88,4690000,469.00,1630000,2.44,90000,0.13
8,164,Entry long,Long,2020-04-09T13:30:00+0700,687.1,1,-950000,-1.38,3740000,374.00,230000,0.33,1250000,1.82
8,172,Exit long,Close entry(s) order Long,2020-04-10T09:30:00+0700,677.6,1,-950000,-1.38,3740000,374.00,230000,0.33,1250000,1.82
9,176,Entry long,Long,2020-04-10T10:30:00+0700,681.9,1,-440000,-0.65,3300000,330.00,400000,0.59,580000,0.85
9,184,Exit long,Close entry(s) order Long,2020-04-10T13:45:00+0700,677.5,1,-440000,-0.65,3300000,330.00,400000,0.59,580000,0.85
10,193,Entry long,Long,2020-04-13T10:00:00+0700,683.9,1,790000,1.16,4090000,409.00,1250000,1.83,0,0.00
10,198,Exit long,Close entry(s) order Long,2020-04-13T11:15:00+0700,691.8,1,790000,1.16,4090000,409.00,1250000,1.83,0,0.00
11,225,Entry long,Long,2020-04-14T14:30:00+0700,704,1,490000,0.70,4580000,458.00,710000,1.01,0,0.00
11,231,Exit long,Close entry(s) order Long,2020-04-15T10:00:00+0700,708.9,1,490000,0.70,4580000,458.00,710000,1.01,0,0.00
12,240,Entry long,Long,2020-04-15T13:30:00+0700,717.5,1,-60000,-0.08,4520000,452.00,150000,0.21,350000,0.49
12,251,Exit long,Close entry(s) order Long,2020-04-16T10:15:00+0700,716.9,1,-60000,-0.08,4520000,452.00,150000,0.21,350000,0.49
13,254,Entry long,Long,2020-04-16T11:00:00+0700,720.6,1,440000,0.61,4960000,496.00,340000,0.47,30000,0.04
13,257,Exit long,Close entry(s) order Long,2020-04-16T13:00:00+0700,725,1,440000,0.61,4960000,496.00,340000,0.47,30000,0.04
14,265,Entry long,Long,2020-04-17T09:00:00+0700,723.4,1,-470000,-0.65,4490000,449.00,70000,0.10,640000,0.88
14,267,Exit long,Close entry(s) order Long,2020-04-17T09:30:00+0700,718.7,1,-470000,-0.65,4490000,449.00,70000,0.10,640000,0.88
15,326,Entry long,Long,2020-04-22T10:00:00+0700,669.9,1,2290000,3.42,6780000,678.00,2590000,3.87,340000,0.51
15,344,Exit long,Close entry(s) order Long,2020-04-23T09:45:00+0700,692.8,1,2290000,3.42,6780000,678.00,2590000,3.87,340000,0.51
