Trade #,Bar Index,Type,Signal,Date/Time,Price VND,Contracts,Profit VND,Profit %,Cumulative profit VND,Cumulative profit %,Run-up VND,Run-up %,Drawdown VND,Drawdown %
1,45,Entry long,Long,2020-03-31T10:45:00+0700,598.5,1,-3040000,-5.08,-3040000,-304.00,370000,0.62,190000,0.32
1,49,Exit long,Exit,2020-03-31T13:00:00+0700,568.1,1,-3040000,-5.08,-3040000,-304.00,370000,0.62,190000,0.32
2,68,Entry long,Long,2020-04-01T13:00:00+0700,585.5,1,5250000,8.97,2210000,221.00,3010000,5.14,650000,1.11
2,95,Exit long,Exit,2020-04-06T09:00:00+0700,638,1,5250000,8.97,2210000,221.00,3010000,5.14,650000,1.11
3,154,Entry long,Long,2020-04-09T09:45:00+0700,681.3,1,3680000,5.40,5890000,589.00,3480000,5.11,920000,1.35
3,238,Exit long,Exit,2020-04-15T13:00:00+0700,718.1,1,3680000,5.40,5890000,589.00,3480000,5.11,920000,1.35
4,338,Entry long,Long,2020-04-22T14:15:00+0700,683.8,1,4430000,6.48,10320000,1032.00,4400000,6.43,880000,1.29
4,502,Exit long,Exit,2020-05-07T11:15:00+0700,728.1,1,4430000,6.48,10320000,1032.00,4400000,6.43,880000,1.29
5,545,Entry long,Long,2020-05-11T13:45:00+0700,753.8,1,11020000,14.62,21340000,2134.00,6010000,7.97,550000,0.73
5,701,Exit long,Exit,2020-05-21T14:45:00+0700,864,1,11020000,14.62,21340000,2134.00,6010000,7.97,550000,0.73
6,735,Entry long,Long,2020-05-25T13:45:00+0700,780.4,1,310000,0.40,21650000,2165.00,6460000,8.28,580000,0.74
6,987,Exit long,Exit,2020-06-12T09:00:00+0700,783.5,1,310000,0.40,21650000,2165.00,6460000,8.28,580000,0.74
7,1010,Entry long,Long,2020-06-15T10:00:00+0700,800.3,1,560000,0.70,22210000,2221.00,540000,0.67,4930000,6.16
7,1316,Exit long,Exit,2020-07-07T10:30:00+0700,805.9,1,560000,0.70,22210000,2221.00,540000,0.67,4930000,6.16
8,1349,Entry long,Long,2020-07-09T09:15:00+0700,804.8,1,-5880000,-7.31,16330000,1633.00,1720000,2.14,4560000,5.67
8,1576,Exit long,Exit,2020-07-27T09:00:00+0700,746,1,-5880000,-7.31,16330000,1633.00,1720000,2.14,4560000,5.67
9,1608,Entry long,Long,2020-07-28T13:30:00+0700,736.5,1,-3730000,-5.06,12600000,1260.00,1150000,1.56,3670000,4.98
9,1621,Exit long,Exit,2020-07-29T10:45:00+0700,699.2,1,-3730000,-5.06,12600000,1260.00,1150000,1.56,3670000,4.98
10,1638,Entry long,Long,2020-07-30T10:15:00+0700,729.8,1,3350000,4.59,15950000,1595.00,3220000,4.41,1950000,2.67
10,1711,Exit long,Exit,2020-08-05T09:30:00+0700,763.3,1,3350000,4.59,15950000,1595.00,3220000,4.41,1950000,2.67
11,1769,Entry long,Long,2020-08-10T09:45:00+0700,791.2,1,8660000,10.95,24610000,2461.00,15830000,20.01,1250000,1.58
11,2880,Exit long,Exit,2020-10-30T13:15:00+0700,877.8,1,8660000,10.95,24610000,2461.00,15830000,20.01,1250000,1.58
12,2890,Entry long,Long,2020-11-02T09:45:00+0700,898.8,1,23600000,26.26,48210000,4821.00,23350000,25.98,340000,0.38
12,3780,Exit long,Exit,2021-01-07T09:00:00+0700,1134.8,1,23600000,26.26,48210000,4821.00,23350000,25.98,340000,0.38
13,3860,Entry long,Long,2021-01-13T10:00:00+0700,1199.2,1,-6510000,-5.43,41700000,4170.00,230000,0.19,5580000,4.65
13,3941,Exit long,Exit,2021-01-19T11:15:00+0700,1134.1,1,-6510000,-5.43,41700000,4170.00,230000,0.19,5580000,4.65
14,3971,Entry long,Long,2021-01-21T09:00:00+0700,1128.8,1,5420000,4.80,47120000,4712.00,2220000,1.97,1580000,1.40
14,3990,Exit long,Exit,2021-01-22T09:00:00+0700,1183,1,5420000,4.80,47120000,4712.00,2220000,1.97,1580000,1.40
15,4094,Entry long,Long,2021-01-29T11:30:00+0700,1059,1,12990000,12.27,60110000,6011.00,12830000,12.12,2900000,2.74
15,4278,Exit long,Exit,2021-02-19T10:00:00+0700,1188.9,1,12990000,12.27,60110000,6011.00,12830000,12.12,2900000,2.74
16,4331,Entry long,Long,2021-02-24T09:00:00+0700,1191.1,1,22680000,19.04,82790000,8279.00,31960000,26.83,4620000,3.88
16,5706,Exit long,Exit,2021-06-08T14:15:00+0700,1417.9,1,22680000,19.04,82790000,8279.00,31960000,26.83,4620000,3.88
17,5726,Entry long,Long,2021-06-09T14:30:00+0700,1464.4,1,-910000,-0.62,81880000,8188.00,10490000,7.16,2640000,1.80
17,6151,Exit long,Exit,2021-07-12T10:15:00+0700,1455.3,1,-910000,-0.62,81880000,8188.00,10490000,7.16,2640000,1.80
18,6176,Entry long,Long,2021-07-13T13:00:00+0700,1439.4,1,-2270000,-1.58,79610000,7961.00,6890000,4.79,8060000,5.60
18,6729,Exit long,Exit,2021-08-23T13:30:00+0700,1416.7,1,-2270000,-1.58,79610000,7961.00,6890000,4.79,8060000,5.60
19,6758,Entry long,Long,2021-08-25T10:00:00+0700,1422.5,1,9000000,6.33,88610000,8861.00,8440000,5.93,3200000,2.25
19,7359,Exit long,Exit,2021-10-11T14:15:00+0700,1512.5,1,9000000,6.33,88610000,8861.00,8440000,5.93,3200000,2.25
20,7387,Entry long,Long,2021-10-13T10:30:00+0700,1521.8,1,-4940000,-3.25,83670000,8367.00,5510000,3.62,5360000,3.52
20,8119,Exit long,Exit,2021-12-06T14:15:00+0700,1472.4,1,-4940000,-3.25,83670000,8367.00,5510000,3.62,5360000,3.52
21,8138,Entry long,Long,2021-12-07T14:15:00+0700,1509.9,1,-6850000,-4.54,76820000,7682.00,5300000,3.51,6340000,4.20
21,9788,Exit long,Exit,2022-04-20T14:00:00+0700,1441.4,1,-6850000,-4.54,76820000,7682.00,5300000,3.51,6340000,4.20
22,9810,Entry long,Long,2022-04-22T09:00:00+0700,1441.7,1,-6420000,-4.45,70400000,7040.00,1770000,1.23,5530000,3.84
22,9843,Exit long,Exit,2022-04-25T13:45:00+0700,1377.5,1,-6420000,-4.45,70400000,7040.00,1770000,1.23,5530000,3.84
23,9866,Entry long,Long,2022-04-26T14:45:00+0700,1391,1,-7950000,-5.72,62450000,6245.00,2990000,2.15,7170000,5.15
23,9997,Exit long,Exit,2022-05-09T14:15:00+0700,1311.5,1,-7950000,-5.72,62450000,6245.00,2990000,2.15,7170000,5.15
24,10017,Entry long,Long,2022-05-10T14:30:00+0700,1335.5,1,-7490000,-5.61,54960000,5496.00,1220000,0.91,7290000,5.46
24,10069,Exit long,Exit,2022-05-13T13:15:00+0700,1260.6,1,-7490000,-5.61,54960000,5496.00,1220000,0.91,7290000,5.46
25,10111,Entry long,Long,2022-05-17T14:15:00+0700,1275.4,1,-1570000,-1.23,53390000,5339.00,6660000,5.22,4130000,3.24
25,10470,Exit long,Exit,2022-06-13T13:45:00+0700,1259.7,1,-1570000,-1.23,53390000,5339.00,6660000,5.22,4130000,3.24
26,10494,Entry long,Long,2022-06-15T09:00:00+0700,1268.2,1,-15570000,-12.28,37820000,3782.00,4460000,3.52,15010000,11.84
26,11951,Exit long,Exit,2022-10-03T13:30:00+0700,1112.5,1,-15570000,-12.28,37820000,3782.00,4460000,3.52,15010000,11.84
27,11978,Entry long,Long,2022-10-05T09:30:00+0700,1115.2,1,-5500000,-4.93,32320000,3232.00,1870000,1.68,3520000,3.16
27,12014,Exit long,Exit,2022-10-07T09:00:00+0700,1060.2,1,-5500000,-4.93,32320000,3232.00,1870000,1.68,3520000,3.16
28,12050,Entry long,Long,2022-10-10T14:30:00+0700,1040.4,1,-4670000,-4.49,27650000,2765.00,0,0.00,4620000,4.44
28,12061,Exit long,Exit,2022-10-11T11:15:00+0700,993.7,1,-4670000,-4.49,27650000,2765.00,0,0.00,4620000,4.44
29,12080,Entry long,Long,2022-10-12T11:15:00+0700,1032,1,-3440000,-3.33,24210000,2421.00,3770000,3.65,3430000,3.32
29,12215,Exit long,Exit,2022-10-21T13:00:00+0700,997.6,1,-3440000,-3.33,24210000,2421.00,3770000,3.65,3430000,3.32
30,12256,Entry long,Long,2022-10-25T13:45:00+0700,974,1,5640000,5.79,29850000,2985.00,5530000,5.68,3090000,3.17
30,12300,Exit long,Exit,2022-10-28T09:15:00+0700,1030.4,1,5640000,5.79,29850000,2985.00,5530000,5.68,3090000,3.17
31,12341,Entry long,Long,2022-11-01T10:00:00+0700,1045.3,1,-6150000,-5.88,23700000,2370.00,130000,0.12,5980000,5.72
31,12396,Exit long,Exit,2022-11-04T09:30:00+0700,983.8,1,-6150000,-5.88,23700000,2370.00,130000,0.12,5980000,5.72
32,12419,Entry long,Long,2022-11-07T10:30:00+0700,981.5,1,-6010000,-6.12,17690000,1769.00,590000,0.60,5130000,5.23
32,12485,Exit long,Exit,2022-11-10T14:00:00+0700,921.4,1,-6010000,-6.12,17690000,1769.00,590000,0.60,5130000,5.23
33,12501,Entry long,Long,2022-11-11T13:15:00+0700,954.9,1,-4930000,-5.16,12760000,1276.00,460000,0.48,4410000,4.62
33,12531,Exit long,Exit,2022-11-15T10:00:00+0700,905.6,1,-4930000,-5.16,12760000,1276.00,460000,0.48,4410000,4.62
34,12560,Entry long,Long,2022-11-16T13:45:00+0700,940.4,1,4450000,4.73,17210000,1721.00,4660000,4.96,2430000,2.58
34,12702,Exit long,Exit,2022-11-28T10:00:00+0700,984.9,1,4450000,4.73,17210000,1721.00,4660000,4.96,2430000,2.58
35,12738,Entry long,Long,2022-11-30T09:30:00+0700,1016.2,1,5110000,5.03,22320000,2232.00,4320000,4.25,520000,0.51
35,12788,Exit long,Exit,2022-12-02T13:45:00+0700,1067.3,1,5110000,5.03,22320000,2232.00,4320000,4.25,520000,0.51
36,12791,Entry long,Long,2022-12-02T14:30:00+0700,1097.4,1,-8140000,-7.42,14180000,1418.00,2810000,2.56,7620000,6.94
