Trade #,Bar Index,Type,Signal,Date/Time,Price VND,Contracts,Profit VND,Profit %,Cumulative profit VND,Cumulative profit %,Run-up VND,Run-up %,Drawdown VND,Drawdown %
1,1,Entry long,Long,2020-03-27T09:15:00+0700,631.6,1,-340000,-0.54,-340000,-34.00,40000,0.06,440000,0.70
1,2,Exit long,Close entry(s) order Long,2020-03-27T09:30:00+0700,628.2,1,-340000,-0.54,-340000,-34.00,40000,0.06,440000,0.70
2,6,Entry long,Long,2020-03-27T10:30:00+0700,632.5,1,-120000,-0.19,-460000,-46.00,20000,0.03,200000,0.32
2,7,Exit long,Close entry(s) order Long,2020-03-27T10:45:00+0700,631.3,1,-120000,-0.19,-460000,-46.00,20000,0.03,200000,0.32
3,11,Entry long,Long,2020-03-27T13:00:00+0700,633.6,1,-30000,-0.05,-490000,-49.00,140000,0.22,110000,0.17
3,12,Exit long,Close entry(s) order Long,2020-03-27T13:15:00+0700,633.3,1,-30000,-0.05,-490000,-49.00,140000,0.22,110000,0.17
4,16,Entry long,Long,2020-03-27T14:15:00+0700,614.8,1,-120000,-0.20,-610000,-61.00,20000,0.03,300000,0.49
4,17,Exit long,Close entry(s) order Long,2020-03-27T14:30:00+0700,613.6,1,-120000,-0.20,-610000,-61.00,20000,0.03,300000,0.49
5,21,Entry long,Long,2020-03-30T09:30:00+0700,586.4,1,210000,0.36,-400000,-40.00,360000,0.61,90000,0.15
5,22,Exit long,Close entry(s) order Long,2020-03-30T09:45:00+0700,588.5,1,210000,0.36,-400000,-40.00,360000,0.61,90000,0.15
6,26,Entry long,Long,2020-03-30T10:45:00+0700,585.3,1,-130000,-0.22,-530000,-53.00,10000,0.02,660000,1.13
6,27,Exit long,Close entry(s) order Long,2020-03-30T11:00:00+0700,584,1,-130000,-0.22,-530000,-53.00,10000,0.02,660000,1.13
7,31,Entry long,Long,2020-03-30T13:15:00+0700,590.4,1,110000,0.19,-420000,-42.00,350000,0.59,290000,0.49
7,32,Exit long,Close entry(s) order Long,2020-03-30T13:30:00+0700,591.5,1,110000,0.19,-420000,-42.00,350000,0.59,290000,0.49
8,36,Entry long,Long,2020-03-30T14:30:00+0700,586.3,1,-330000,-0.56,-750000,-75.00,70000,0.12,0,0.00
8,37,Exit long,Close entry(s) order Long,2020-03-30T14:45:00+0700,583,1,-330000,-0.56,-750000,-75.00,70000,0.12,0,0.00
9,41,Entry long,Long,2020-03-31T09:45:00+0700,596.8,1,200000,0.34,-550000,-55.00,220000,0.37,0,0.00
9,42,Exit long,Close entry(s) order Long,2020-03-31T10:00:00+0700,598.8,1,200000,0.34,-550000,-55.00,220000,0.37,0,0.00
10,46,Entry long,Long,2020-03-31T11:00:00+0700,599,1,-100000,-0.17,-650000,-65.00,100000,0.17,230000,0.38
10,47,Exit long,Close entry(s) order Long,2020-03-31T11:15:00+0700,598,1,-100000,-0.17,-650000,-65.00,100000,0.17,230000,0.38
11,51,Entry long,Long,2020-03-31T13:30:00+0700,575.5,1,-890000,-1.55,-1540000,-154.00,90000,0.16,990000,1.72
11,52,Exit long,Close entry(s) order Long,2020-03-31T13:45:00+0700,566.6,1,-890000,-1.55,-1540000,-154.00,90000,0.16,990000,1.72
12,56,Entry long,Long,2020-03-31T14:45:00+0700,578.7,1,410000,0.71,-1130000,-113.00,0,0.00,0,0.00
12,57,Exit long,Close entry(s) order Long,2020-04-01T09:00:00+0700,582.8,1,410000,0.71,-1130000,-113.00,0,0.00,0,0.00
13,61,Entry long,Long,2020-04-01T10:00:00+0700,591.8,1,-80000,-0.14,-1210000,-121.00,10000,0.02,260000,0.44
13,62,Exit long,Close entry(s) order Long,2020-04-01T10:15:00+0700,591,1,-80000,-0.14,-1210000,-121.00,10000,0.02,260000,0.44
14,66,Entry long,Long,2020-04-01T11:15:00+0700,597.7,1,-70000,-0.12,-1280000,-128.00,10000,0.02,360000,0.60
14,67,Exit long,Close entry(s) order Long,2020-04-01T11:30:00+0700,597,1,-70000,-0.12,-1280000,-128.00,10000,0.02,360000,0.60
15,71,Entry long,Long,2020-04-01T13:45:00+0700,590.8,1,30000,0.05,-1250000,-125.00,420000,0.71,60000,0.10
15,72,Exit long,Close entry(s) order Long,2020-04-01T14:00:00+0700,591.1,1,30000,0.05,-1250000,-125.00,420000,0.71,60000,0.10
16,76,Entry long,Long,2020-04-03T09:00:00+0700,603.8,1,540000,0.89,-710000,-71.00,580000,0.96,10000,0.02
16,77,Exit long,Close entry(s) order Long,2020-04-03T09:15:00+0700,609.2,1,540000,0.89,-710000,-71.00,580000,0.96,10000,0.02
17,81,Entry long,Long,2020-04-03T10:15:00+0700,607,1,220000,0.36,-490000,-49.00,250000,0.41,0,0.00
17,82,Exit long,Close entry(s) order Long,2020-04-03T10:30:00+0700,609.2,1,220000,0.36,-490000,-49.00,250000,0.41,0,0.00
18,86,Entry long,Long,2020-04-03T11:30:00+0700,604.9,1,10000,0.02,-480000,-48.00,0,0.00,0,0.00
18,87,Exit long,Close entry(s) order Long,2020-04-03T13:00:00+0700,605,1,10000,0.02,-480000,-48.00,0,0.00,0,0.00
19,91,Entry long,Long,2020-04-03T14:00:00+0700,612.2,1,10000,0.02,-470000,-47.00,120000,0.20,120000,0.20
19,92,Exit long,Close entry(s) order Long,2020-04-03T14:15:00+0700,612.3,1,10000,0.02,-470000,-47.00,120000,0.20,120000,0.20
20,96,Entry long,Long,2020-04-06T09:15:00+0700,641.9,1,-10000,-0.02,-480000,-48.00,50000,0.08,110000,0.17
20,97,Exit long,Close entry(s) order Long,2020-04-06T09:30:00+0700,641.8,1,-10000,-0.02,-480000,-48.00,50000,0.08,110000,0.17
21,101,Entry long,Long,2020-04-06T10:30:00+0700,641.5,1,-20000,-0.03,-500000,-50.00,70000,0.11,70000,0.11
21,102,Exit long,Close entry(s) order Long,2020-04-06T10:45:00+0700,641.3,1,-20000,-0.03,-500000,-50.00,70000,0.11,70000,0.11
22,106,Entry long,Long,2020-04-06T13:00:00+0700,643.7,1,470000,0.73,-30000,-3.00,620000,0.96,0,0.00
22,107,Exit long,Close entry(s) order Long,2020-04-06T13:15:00+0700,648.4,1,470000,0.73,-30000,-3.00,620000,0.96,0,0.00
23,111,Entry long,Long,2020-04-06T14:15:00+0700,656.8,1,0,0.00,-30000,-3.00,0,0.00,0,0.00
23,112,Exit long,Close entry(s) order Long,2020-04-06T14:45:00+0700,656.8,1,0,0.00,-30000,-3.00,0,0.00,0,0.00
24,116,Entry long,Long,2020-04-07T09:45:00+0700,666.6,1,-340000,-0.51,-370000,-37.00,10000,0.02,460000,0.69
24,117,Exit long,Close entry(s) order Long,2020-04-07T10:00:00+0700,663.2,1,-340000,-0.51,-370000,-37.00,10000,0.02,460000,0.69
25,121,Entry long,Long,2020-04-07T11:00:00+0700,661.7,1,-10000,-0.02,-380000,-38.00,110000,0.17,40000,0.06
25,122,Exit long,Close entry(s) order Long,2020-04-07T11:15:00+0700,661.6,1,-10000,-0.02,-380000,-38.00,110000,0.17,40000,0.06
26,126,Entry long,Long,2020-04-07T13:30:00+0700,668.5,1,220000,0.33,-160000,-16.00,470000,0.70,0,0.00
26,127,Exit long,Close entry(s) order Long,2020-04-07T13:45:00+0700,670.7,1,220000,0.33,-160000,-16.00,470000,0.70,0,0.00
27,131,Entry long,Long,2020-04-07T14:45:00+0700,677,1,-1510000,-2.23,-1670000,-167.00,0,0.00,0,0.00
27,132,Exit long,Close entry(s) order Long,2020-04-08T09:00:00+0700,661.9,1,-1510000,-2.23,-1670000,-167.00,0,0.00,0,0.00
28,136,Entry long,Long,2020-04-08T10:00:00+0700,660.7,1,200000,0.30,-1470000,-147.00,420000,0.64,210000,0.32
28,137,Exit long,Close entry(s) order Long,2020-04-08T10:15:00+0700,662.7,1,200000,0.30,-1470000,-147.00,420000,0.64,210000,0.32
29,141,Entry long,Long,2020-04-08T11:15:00+0700,661.8,1,-80000,-0.12,-1550000,-155.00,190000,0.29,80000,0.12
29,142,Exit long,Close entry(s) order Long,2020-04-08T11:30:00+0700,661,1,-80000,-0.12,-1550000,-155.00,190000,0.29,80000,0.12
30,146,Entry long,Long,2020-04-08T13:45:00+0700,662.8,1,190000,0.29,-1360000,-136.00,300000,0.45,100000,0.15
30,147,Exit long,Close entry(s) order Long,2020-04-08T14:00:00+0700,664.7,1,190000,0.29,-1360000,-136.00,300000,0.45,100000,0.15
31,151,Entry long,Long,2020-04-09T09:00:00+0700,681,1,-120000,-0.18,-1480000,-148.00,50000,0.07,300000,0.44
31,152,Exit long,Close entry(s) order Long,2020-04-09T09:15:00+0700,679.8,1,-120000,-0.18,-1480000,-148.00,50000,0.07,300000,0.44
32,156,Entry long,Long,2020-04-09T10:15:00+0700,679.7,1,70000,0.10,-1410000,-141.00,90000,0.13,40000,0.06
32,157,Exit long,Close entry(s) order Long,2020-04-09T10:30:00+0700,680.4,1,70000,0.10,-1410000,-141.00,90000,0.13,40000,0.06
33,161,Entry long,Long,2020-04-09T11:30:00+0700,681.2,1,20000,0.03,-1390000,-139.00,20000,0.03,20000,0.03
33,162,Exit long,Close entry(s) order Long,2020-04-09T13:00:00+0700,681.4,1,20000,0.03,-1390000,-139.00,20000,0.03,20000,0.03
34,166,Entry long,Long,2020-04-09T14:00:00+0700,683.3,1,-30000,-0.04,-1420000,-142.00,110000,0.16,250000,0.37
34,167,Exit long,Close entry(s) order Long,2020-04-09T14:15:00+0700,683,1,-30000,-0.04,-1420000,-142.00,110000,0.16,250000,0.37
35,171,Entry long,Long,2020-04-10T09:15:00+0700,678.7,1,-110000,-0.16,-1530000,-153.00,30000,0.04,410000,0.60
35,172,Exit long,Close entry(s) order Long,2020-04-10T09:30:00+0700,677.6,1,-110000,-0.16,-1530000,-153.00,30000,0.04,410000,0.60
36,176,Entry long,Long,2020-04-10T10:30:00+0700,681.9,1,-10000,-0.01,-1540000,-154.00,210000,0.31,20000,0.03
36,177,Exit long,Close entry(s) order Long,2020-04-10T10:45:00+0700,681.8,1,-10000,-0.01,-1540000,-154.00,210000,0.31,20000,0.03
37,181,Entry long,Long,2020-04-10T13:00:00+0700,683,1,230000,0.34,-1310000,-131.00,290000,0.42,150000,0.22
