Trade #,Bar Index,Type,Signal,Date/Time,Price VND,Contracts,Profit VND,Profit %,Cumulative profit VND,Cumulative profit %,Run-up VND,Run-up %,Drawdown VND,Drawdown %
1,1,Entry long,Long,2020-03-27T09:15:00+0700,631.6,1,-6720000,-10.64,-6720000,-672.00,340000,0.54,5290000,8.38
1,49,Exit long,Long,2020-03-31T13:00:00+0700,564.4,1,-6720000,-10.64,-6720000,-672.00,340000,0.54,5290000,8.38
2,51,Entry long,Long,2020-03-31T13:30:00+0700,575.5,1,14410000,25.04,7690000,769.00,14530000,25.25,990000,1.72
2,253,Exit long,Long,2020-04-16T10:45:00+0700,719.6,1,14410000,25.04,7690000,769.00,14530000,25.25,990000,1.72
3,255,Entry long,Long,2020-04-16T11:15:00+0700,723.6,1,18110000,25.03,25800000,2580.00,18220000,25.18,6440000,8.90
3,2732,Exit long,Long,2020-10-20T14:15:00+0700,904.7,1,18110000,25.03,25800000,2580.00,18220000,25.18,6440000,8.90
4,2734,Entry long,Long,2020-10-20T14:45:00+0700,911.2,1,22840000,25.07,48640000,4864.00,22960000,25.20,3610000,3.96
4,3796,Exit long,Long,2021-01-07T14:15:00+0700,1139.6,1,22840000,25.07,48640000,4864.00,22960000,25.20,3610000,3.96
5,3798,Entry long,Long,2021-01-07T14:45:00+0700,1148.9,1,-11490000,-10.00,37150000,3715.00,5260000,4.58,7890000,6.87
5,4066,Exit long,Long,2021-01-28T09:00:00+0700,1034,1,-11490000,-10.00,37150000,3715.00,5260000,4.58,7890000,6.87
6,4068,Entry long,Long,2021-01-28T09:30:00+0700,1043.4,1,26450000,25.35,63600000,6360.00,26570000,25.46,7710000,7.39
6,5080,Exit long,Long,2021-04-19T14:30:00+0700,1307.9,1,26450000,25.35,63600000,6360.00,26570000,25.46,7710000,7.39
7,5082,Entry long,Long,2021-04-20T09:00:00+0700,1316,1,-13660000,-10.38,49940000,4994.00,26090000,19.83,13180000,10.02
7,11855,Exit long,Long,2022-09-26T13:15:00+0700,1179.4,1,-13660000,-10.38,49940000,4994.00,26090000,19.83,13180000,10.02
8,11857,Entry long,Long,2022-09-26T13:45:00+0700,1179,1,-12270000,-10.41,37670000,3767.00,1730000,1.47,11900000,10.09
8,12015,Exit long,Long,2022-10-07T09:15:00+0700,1056.3,1,-12270000,-10.41,37670000,3767.00,1730000,1.47,11900000,10.09
9,12017,Entry long,Long,2022-10-07T09:45:00+0700,1041.4,1,-10620000,-10.20,27050000,2705.00,2830000,2.72,9940000,9.54
9,12237,Exit long,Long,2022-10-24T13:45:00+0700,935.2,1,-10620000,-10.20,27050000,2705.00,2830000,2.72,9940000,9.54
10,12239,Entry long,Long,2022-10-24T14:15:00+0700,936.3,1,24230000,25.88,51280000,5128.00,24360000,26.02,7550000,8.06
10,15755,Exit long,Long,2023-07-21T14:30:00+0700,1178.6,1,24230000,25.88,51280000,5128.00,24360000,26.02,7550000,8.06
11,15757,Entry long,Long,2023-07-24T09:00:00+0700,1185,1,-11900000,-10.04,39380000,3938.00,8050000,6.79,11750000,9.92
11,17014,Exit long,Long,2023-10-26T09:45:00+0700,1066,1,-11900000,-10.04,39380000,3938.00,8050000,6.79,11750000,9.92
12,17016,Entry long,Long,2023-10-26T10:15:00+0700,1072.1,1,27050000,25.23,66430000,6643.00,27120000,25.30,3510000,3.27
12,21327,Exit long,Long,2024-09-25T10:00:00+0700,1342.6,1,27050000,25.23,66430000,6643.00,27120000,25.30,3510000,3.27
13,21329,Entry long,Long,2024-09-25T10:30:00+0700,1341.7,1,-13520000,-10.08,52910000,5291.00,5380000,4.01,12170000,9.07
13,23832,Exit long,Long,2025-04-08T09:15:00+0700,1206.5,1,-13520000,-10.08,52910000,5291.00,5380000,4.01,12170000,9.07
14,23834,Entry long,Long,2025-04-08T09:45:00+0700,1219.6,1,30830000,25.28,83740000,8374.00,30880000,25.32,10460000,8.58
14,24944,Exit long,Long,2025-07-09T10:00:00+0700,1527.9,1,30830000,25.28,83740000,8374.00,30880000,25.32,10460000,8.58
15,24946,Entry long,Long,2025-07-09T10:30:00+0700,1523.8,1,39480000,25.91,1.2322e+08,12322.00,39620000,26.00,20000,0.01
15,26003,Exit long,Long,2025-10-06T14:45:00+0700,1918.6,1,39480000,25.91,1.2322e+08,12322.00,39620000,26.00,20000,0.01
16,26005,Entry long,Long,2025-10-07T09:15:00+0700,1921,1,0,0.00,0,0.00,0,0.00,0,0.00
16,27571,Exit long,Open,2026-02-12T14:45:00+0700,2021,1,100,5.21,100,5.21,100,5.21,0,0.00
