Trade #,Bar Index,Type,Signal,Date/Time,Price VND,Contracts,Profit VND,Profit %,Cumulative profit VND,Cumulative profit %,Run-up VND,Run-up %,Drawdown VND,Drawdown %
1,24,Entry long,Enter Long,2020-03-30T10:15:00+0700,585.9,1,983850,1.68,2008500,200.85,1558525,2.66,866475,1.48
1,43,Exit long,Enter Short,2020-03-31T10:15:00+0700,598.7,1,983850,1.68,2008500,200.85,1558525,2.66,866475,1.48
2,27,Entry long,Enter Long,2020-03-30T11:00:00+0700,584,1,1174325,2.01,2008500,200.85,1559000,2.67,621000,1.06
2,43,Exit long,Enter Short,2020-03-31T10:15:00+0700,598.7,1,1174325,2.01,2008500,200.85,1559000,2.67,621000,1.06
3,43,Entry short,Enter Short,2020-03-31T10:15:00+0700,598.7,1,-6715350,-11.22,-22127950,-2212.80,3710325,6.20,6583675,11.00
3,137,Exit short,Enter Long,2020-04-08T10:15:00+0700,662.7,1,-6715350,-11.22,-22127950,-2212.80,3710325,6.20,6583675,11.00
4,64,Entry short,Enter Short,2020-04-01T10:45:00+0700,598.2,1,-6765225,-11.31,-22127950,-2212.80,1795450,3.00,6583550,11.01
4,137,Exit short,Enter Long,2020-04-08T10:15:00+0700,662.7,1,-6765225,-11.31,-22127950,-2212.80,1795450,3.00,6583550,11.01
5,81,Entry short,Enter Short,2020-04-03T10:15:00+0700,607,1,-5887425,-9.70,-22127950,-2212.80,0,0.00,6585750,10.85
5,137,Exit short,Enter Long,2020-04-08T10:15:00+0700,662.7,1,-5887425,-9.70,-22127950,-2212.80,0,0.00,6585750,10.85
6,100,Entry short,Enter Short,2020-04-06T10:15:00+0700,640.9,1,-2505900,-3.91,-22127950,-2212.80,0,0.00,6594225,10.29
6,137,Exit short,Enter Long,2020-04-08T10:15:00+0700,662.7,1,-2505900,-3.91,-22127950,-2212.80,0,0.00,6594225,10.29
7,104,Entry short,Enter Short,2020-04-06T11:15:00+0700,643.5,1,-2246550,-3.49,-22127950,-2212.80,0,0.00,6594875,10.25
7,137,Exit short,Enter Long,2020-04-08T10:15:00+0700,662.7,1,-2246550,-3.49,-22127950,-2212.80,0,0.00,6594875,10.25
8,137,Entry long,Enter Long,2020-04-08T10:15:00+0700,662.7,1,1524000,2.30,-20608600,-2060.86,1794325,2.71,685675,1.03
8,154,Exit long,Enter Short,2020-04-09T09:45:00+0700,681.3,1,1524000,2.30,-20608600,-2060.86,1794325,2.71,685675,1.03
9,154,Entry short,Enter Short,2020-04-09T09:45:00+0700,681.3,1,30275,0.04,-20477300,-2047.73,534675,0.78,945325,1.39
9,172,Exit short,Enter Long,2020-04-10T09:30:00+0700,677.6,1,30275,0.04,-20477300,-2047.73,534675,0.78,945325,1.39
10,160,Entry short,Enter Short,2020-04-09T11:15:00+0700,682,1,100100,0.15,-20477300,-2047.73,534500,0.78,945500,1.39
10,172,Exit short,Enter Long,2020-04-10T09:30:00+0700,677.6,1,100100,0.15,-20477300,-2047.73,534500,0.78,945500,1.39
11,172,Entry long,Enter Long,2020-04-10T09:30:00+0700,677.6,1,1287125,1.90,-19194250,-1919.43,1710600,2.52,719400,1.06
11,196,Exit long,Enter Short,2020-04-13T10:45:00+0700,693.9,1,1287125,1.90,-19194250,-1919.43,1710600,2.52,719400,1.06
12,196,Entry short,Enter Short,2020-04-13T10:45:00+0700,693.9,1,-727900,-1.05,-18026750,-1802.68,786525,1.13,2649475,3.82
12,306,Exit short,Enter Long,2020-04-21T09:45:00+0700,697.7,1,-727900,-1.05,-18026750,-1802.68,786525,1.13,2649475,3.82
13,213,Entry short,Enter Short,2020-04-14T10:15:00+0700,695,1,-618175,-0.89,-18026750,-1802.68,580250,0.83,2649750,3.81
13,306,Exit short,Enter Long,2020-04-21T09:45:00+0700,697.7,1,-618175,-0.89,-18026750,-1802.68,580250,0.83,2649750,3.81
14,227,Entry short,Enter Short,2020-04-15T09:00:00+0700,705.9,1,469100,0.66,-18026750,-1802.68,577525,0.82,2652475,3.76
14,306,Exit short,Enter Long,2020-04-21T09:45:00+0700,697.7,1,469100,0.66,-18026750,-1802.68,577525,0.82,2652475,3.76
15,230,Entry short,Enter Short,2020-04-15T09:45:00+0700,709.4,1,818225,1.15,-18026750,-1802.68,576650,0.81,2653350,3.74
15,306,Exit short,Enter Long,2020-04-21T09:45:00+0700,697.7,1,818225,1.15,-18026750,-1802.68,576650,0.81,2653350,3.74
16,238,Entry short,Enter Short,2020-04-15T13:00:00+0700,713.5,1,1227200,1.72,-18026750,-1802.68,575625,0.81,2654375,3.72
16,306,Exit short,Enter Long,2020-04-21T09:45:00+0700,697.7,1,1227200,1.72,-18026750,-1802.68,575625,0.81,2654375,3.72
17,306,Entry long,Enter Long,2020-04-21T09:45:00+0700,697.7,1,-2284000,-3.27,-22157125,-2215.71,0,0.00,3121092,4.47
