Trade #,Bar Index,Type,Signal,Date/Time,Price VND,Contracts,Profit VND,Profit %,Cumulative profit VND,Cumulative profit %,Run-up VND,Run-up %,Drawdown VND,Drawdown %
1,67,Entry long,Enter Long Stop,2020-04-01T11:30:00+0700,597,1,0,0.00,0,-0.00,0,0.00,0,0.00
1,67,Exit long,Enter Short Stop,2020-04-01T11:30:00+0700,597,1,0,0.00,0,-0.00,0,0.00,0,0.00
2,67,Entry short,Enter Short Stop,2020-04-01T11:30:00+0700,597,1,720000,1.21,720000,72.00,1800000,3.02,90000,0.15
2,69,Exit short,Close position order,2020-04-01T13:15:00+0700,589.8,1,720000,1.21,720000,72.00,1800000,3.02,90000,0.15
3,76,Entry long,Enter Long Stop,2020-04-03T09:00:00+0700,606.3,1,290000,0.48,1010000,101.00,330000,0.54,260000,0.43
3,77,Exit long,Close position order,2020-04-03T09:15:00+0700,609.2,1,290000,0.48,1010000,101.00,330000,0.54,260000,0.43
4,375,Entry long,Enter Long Stop,2020-04-24T14:00:00+0700,690.6,1,740000,1.07,1750000,175.00,1940000,2.81,240000,0.35
4,388,Exit long,Close position order,2020-04-27T11:15:00+0700,698,1,740000,1.07,1750000,175.00,1940000,2.81,240000,0.35
5,412,Entry long,Enter Long Stop,2020-04-28T13:45:00+0700,700.3,1,-450000,-0.64,1300000,130.00,110000,0.16,760000,1.09
5,417,Exit long,Close position order,2020-04-29T09:00:00+0700,695.8,1,-450000,-0.64,1300000,130.00,110000,0.16,760000,1.09
6,485,Entry long,Enter Long Stop,2020-05-06T13:00:00+0700,705,1,5100000,7.23,6400000,640.00,8740000,12.40,30000,0.04
6,527,Exit long,Close position order,2020-05-08T14:00:00+0700,756,1,5100000,7.23,6400000,640.00,8740000,12.40,30000,0.04
7,576,Entry long,Enter Long Stop,2020-05-13T10:45:00+0700,767.8,1,0,0.00,6400000,640.00,1250000,1.63,380000,0.49
7,583,Exit long,Close position order,2020-05-13T13:45:00+0700,767.8,1,0,0.00,6400000,640.00,1250000,1.63,380000,0.49
8,641,Entry long,Enter Long Stop,2020-05-18T14:00:00+0700,781.2,1,2430000,3.11,8830000,883.00,3240000,4.15,300000,0.38
8,658,Exit long,Close position order,2020-05-19T13:30:00+0700,805.5,1,2430000,3.11,8830000,883.00,3240000,4.15,300000,0.38
9,718,Entry short,Enter Short Stop,2020-05-22T14:15:00+0700,770,1,-1090000,-1.42,7740000,774.00,110000,0.14,1140000,1.48
9,722,Exit short,Close position order,2020-05-25T09:15:00+0700,780.9,1,-1090000,-1.42,7740000,774.00,110000,0.14,1140000,1.48
10,747,Entry long,Enter Long Stop,2020-05-26T10:45:00+0700,795.1,1,1040000,1.31,8780000,878.00,1770000,2.23,160000,0.20
10,769,Exit long,Close position order,2020-05-27T11:30:00+0700,805.5,1,1040000,1.31,8780000,878.00,1770000,2.23,160000,0.20
11,835,Entry long,Enter Long Stop,2020-06-02T09:00:00+0700,813.9,1,-570000,-0.70,8210000,821.00,110000,0.14,720000,0.88
11,838,Exit long,Close position order,2020-06-02T09:45:00+0700,808.2,1,-570000,-0.70,8210000,821.00,110000,0.14,720000,0.88
12,910,Entry long,Enter Long Stop,2020-06-05T14:45:00+0700,825,1,1200000,1.45,9410000,941.00,2000000,2.42,0,0.00
