Trade #,Bar Index,Type,Signal,Date/Time,Price VND,Contracts,Profit VND,Profit %,Cumulative profit VND,Cumulative profit %,Run-up VND,Run-up %,Drawdown VND,Drawdown %
1,32,Entry long,Long,2020-03-30T13:30:00+0700,591.5,1,5040000,8.52,5040000,504.00,5350000,9.04,3140000,5.31
1,96,Exit long,Close entry(s) order Long,2020-04-06T09:15:00+0700,641.9,1,5040000,8.52,5040000,504.00,5350000,9.04,3140000,5.31
2,123,Entry long,Long,2020-04-07T11:30:00+0700,663.6,1,3310000,4.99,8350000,835.00,3570000,5.38,660000,0.99
2,209,Exit long,Close entry(s) order Long,2020-04-14T09:15:00+0700,696.7,1,3310000,4.99,8350000,835.00,3570000,5.38,660000,0.99
3,223,Entry long,Long,2020-04-14T14:00:00+0700,696.3,1,3440000,4.94,11790000,1179.00,3660000,5.26,3710000,5.33
3,508,Exit long,Close entry(s) order Long,2020-05-07T14:00:00+0700,730.7,1,3440000,4.94,11790000,1179.00,3660000,5.26,3710000,5.33
4,532,Entry long,Long,2020-05-11T09:15:00+0700,765,1,4190000,5.48,15980000,1598.00,4250000,5.56,1670000,2.18
4,646,Exit long,Close entry(s) order Long,2020-05-19T09:15:00+0700,806.9,1,4190000,5.48,15980000,1598.00,4250000,5.56,1670000,2.18
5,672,Entry long,Long,2020-05-20T11:00:00+0700,799,1,-1000000,-1.25,14980000,1498.00,6500000,8.14,240000,0.30
5,702,Exit long,Close entry(s) order Long,2020-05-22T09:00:00+0700,789,1,-1000000,-1.25,14980000,1498.00,6500000,8.14,240000,0.30
6,722,Entry long,Long,2020-05-25T09:15:00+0700,780.9,1,3500000,4.48,18480000,1848.00,3920000,5.02,780000,1.00
6,855,Exit long,Close entry(s) order Long,2020-06-03T09:15:00+0700,815.9,1,3500000,4.48,18480000,1848.00,3920000,5.02,780000,1.00
7,870,Entry long,Long,2020-06-03T14:15:00+0700,817.4,1,3990000,4.88,22470000,2247.00,4110000,5.03,11880000,14.53
7,2361,Exit long,Close entry(s) order Long,2020-09-23T10:30:00+0700,857.3,1,3990000,4.88,22470000,2247.00,4110000,5.03,11880000,14.53
8,2367,Entry long,Long,2020-09-23T13:15:00+0700,855,1,4480000,5.24,26950000,2695.00,4700000,5.50,720000,0.84
8,2660,Exit long,Close entry(s) order Long,2020-10-15T09:15:00+0700,899.8,1,4480000,5.24,26950000,2695.00,4700000,5.50,720000,0.84
9,2687,Entry long,Long,2020-10-16T11:15:00+0700,896.4,1,4450000,4.96,31400000,3140.00,4520000,5.04,720000,0.80
9,2800,Exit long,Close entry(s) order Long,2020-10-26T11:00:00+0700,940.9,1,4450000,4.96,31400000,3140.00,4520000,5.04,720000,0.80
10,2821,Entry long,Long,2020-10-27T11:30:00+0700,930.7,1,4970000,5.34,36370000,3637.00,5030000,5.40,5560000,5.97
10,3303,Exit long,Close entry(s) order Long,2020-12-01T14:30:00+0700,980.4,1,4970000,5.34,36370000,3637.00,5030000,5.40,5560000,5.97
11,3317,Entry long,Long,2020-12-02T13:15:00+0700,981.5,1,5080000,5.18,41450000,4145.00,5190000,5.29,250000,0.25
11,3535,Exit long,Close entry(s) order Long,2020-12-18T09:30:00+0700,1032.3,1,5080000,5.18,41450000,4145.00,5190000,5.29,250000,0.25
12,3564,Entry long,Long,2020-12-21T13:15:00+0700,1052.7,1,5470000,5.20,46920000,4692.00,5570000,5.29,2620000,2.49
