Metric,All VND,All %,Long VND,Long %,Short VND,Short %
Total P&L,67160000,6716,,,,
Realized P&L,67160000,6716,,,,
Unrealized P&L,0,0,,,,
Net profit,67160000,6716,67160000,6716,0,0
Gross profit,6.2154e+08,62154,6.2154e+08,62154,0,0
Gross loss,5.5438e+08,55438,-5.5438e+08,-55438,0,0
Commission paid,0,,0,,0,
Buy & hold return,2199810,219.981,,,,
Max equity run-up,81830000,8183,,,,
Max equity drawdown,55840000,5584,,,,
Unrealized max drawdown,56150000,928.44828,,,,
Real max drawdown,7300000,5.8568678,,,,
Max contracts held,2,,2,,0,
,,,,,,
Total trades,1379,,1379,,0,
Total open trades,1,,1,,0,
Winning trades,726,,726,,0,
Losing trades,645,,653,,0,
Percent profitable,,52.646846,,52.646846,,0
Avg P&L,48701.958,4.8701958,48701.958,4.8701958,0,0
Avg winning trade,856115.7,85.61157,856115.7,85.61157,0,
Avg losing trade,-859503.88,-85.950388,-859503.88,-85.950388,0,
Ratio avg win / avg loss,0.99605799,,0.99605799,,0,
Largest winning trade,9070000,,9070000,,0,
Largest winning trade percent,,7.754125,,7.754125,,0
Largest losing trade,-6890000,,-6890000,,0,
Largest losing trade percent,,-5.0258954,,-5.0258954,,0
Avg # bars in trades,10.003626,,10.003626,,0,
Avg # bars in winning trades,10.027548,,10.027548,,0,
Avg # bars in losing trades,10.015504,,10.015504,,0,
,,,,,,
Sharpe ratio,-0.095603548,,,,,
Sortino ratio,-0.047656784,,,,,
Profit factor,1.1211443,,1.1211443,,0,
Margin calls,0,,0,,0,
