Trade #,Bar Index,Type,Signal,Date/Time,Price VND,Contracts,Profit VND,Profit %,Cumulative profit VND,Cumulative profit %,Run-up VND,Run-up %,Drawdown VND,Drawdown %
1,1,Entry long,Long,2020-03-27T09:15:00+0700,631.6,1,-4520000,-7.16,-4520000,-452.00,340000,0.54,4710000,7.46
1,21,Exit long,Close entry(s) order Long,2020-03-30T09:30:00+0700,586.4,1,-4520000,-7.16,-4520000,-452.00,340000,0.54,4710000,7.46
2,31,Entry long,Long,2020-03-30T13:15:00+0700,590.4,1,640000,1.08,-3880000,-388.00,850000,1.44,870000,1.47
2,41,Exit long,Close entry(s) order Long,2020-03-31T09:45:00+0700,596.8,1,640000,1.08,-3880000,-388.00,850000,1.44,870000,1.47
3,46,Entry long,Long,2020-03-31T11:00:00+0700,599,1,-720000,-1.20,-4600000,-460.00,320000,0.53,3890000,6.49
3,61,Exit long,Close entry(s) order Long,2020-04-01T10:00:00+0700,591.8,1,-720000,-1.20,-4600000,-460.00,320000,0.53,3890000,6.49
4,76,Entry long,Long,2020-04-03T09:00:00+0700,603.8,1,320000,0.53,-4280000,-428.00,800000,1.32,10000,0.02
4,81,Exit long,Close entry(s) order Long,2020-04-03T10:15:00+0700,607,1,320000,0.53,-4280000,-428.00,800000,1.32,10000,0.02
5,91,Entry long,Long,2020-04-03T14:00:00+0700,612.2,1,2930000,4.79,-1350000,-135.00,3280000,5.36,220000,0.36
5,101,Exit long,Close entry(s) order Long,2020-04-06T10:30:00+0700,641.5,1,2930000,4.79,-1350000,-135.00,3280000,5.36,220000,0.36
6,106,Entry long,Long,2020-04-06T13:00:00+0700,643.7,1,1800000,2.80,450000,45.00,3430000,5.33,0,0.00
6,121,Exit long,Close entry(s) order Long,2020-04-07T11:00:00+0700,661.7,1,1800000,2.80,450000,45.00,3430000,5.33,0,0.00
7,136,Entry long,Long,2020-04-08T10:00:00+0700,660.7,1,110000,0.17,560000,56.00,420000,0.64,210000,0.32
7,141,Exit long,Close entry(s) order Long,2020-04-08T11:15:00+0700,661.8,1,110000,0.17,560000,56.00,420000,0.64,210000,0.32
8,151,Entry long,Long,2020-04-09T09:00:00+0700,681,1,20000,0.03,580000,58.00,390000,0.57,300000,0.44
8,161,Exit long,Close entry(s) order Long,2020-04-09T11:30:00+0700,681.2,1,20000,0.03,580000,58.00,390000,0.57,300000,0.44
9,166,Entry long,Long,2020-04-09T14:00:00+0700,683.3,1,-30000,-0.04,550000,55.00,110000,0.16,870000,1.27
9,181,Exit long,Close entry(s) order Long,2020-04-10T13:00:00+0700,683,1,-30000,-0.04,550000,55.00,110000,0.16,870000,1.27
10,196,Entry long,Long,2020-04-13T10:45:00+0700,693.9,1,-150000,-0.22,400000,40.00,20000,0.03,710000,1.02
10,201,Exit long,Close entry(s) order Long,2020-04-13T13:15:00+0700,692.4,1,-150000,-0.22,400000,40.00,20000,0.03,710000,1.02
11,211,Entry long,Long,2020-04-14T09:45:00+0700,697.6,1,-530000,-0.76,-130000,-13.00,60000,0.09,950000,1.36
11,221,Exit long,Close entry(s) order Long,2020-04-14T13:30:00+0700,692.3,1,-530000,-0.76,-130000,-13.00,60000,0.09,950000,1.36
12,226,Entry long,Long,2020-04-14T14:45:00+0700,705.2,1,1080000,1.53,950000,95.00,1430000,2.03,0,0.00
12,241,Exit long,Close entry(s) order Long,2020-04-15T13:45:00+0700,716,1,1080000,1.53,950000,95.00,1430000,2.03,0,0.00
13,256,Entry long,Long,2020-04-16T11:30:00+0700,721.1,1,20000,0.03,970000,97.00,720000,1.00,110000,0.15
13,261,Exit long,Close entry(s) order Long,2020-04-16T14:00:00+0700,721.3,1,20000,0.03,970000,97.00,720000,1.00,110000,0.15
14,271,Entry long,Long,2020-04-17T10:30:00+0700,718,1,-500000,-0.70,470000,47.00,250000,0.35,630000,0.88
14,281,Exit long,Close entry(s) order Long,2020-04-17T14:15:00+0700,713,1,-500000,-0.70,470000,47.00,250000,0.35,630000,0.88
15,286,Entry long,Long,2020-04-20T09:30:00+0700,716.7,1,-360000,-0.50,110000,11.00,70000,0.10,490000,0.68
15,301,Exit long,Close entry(s) order Long,2020-04-20T14:30:00+0700,713.1,1,-360000,-0.50,110000,11.00,70000,0.10,490000,0.68
16,316,Entry long,Long,2020-04-21T13:30:00+0700,673.8,1,-370000,-0.55,-260000,-26.00,320000,0.47,370000,0.55
16,321,Exit long,Close entry(s) order Long,2020-04-21T14:45:00+0700,670.1,1,-370000,-0.55,-260000,-26.00,320000,0.47,370000,0.55
17,331,Entry long,Long,2020-04-22T11:15:00+0700,673.4,1,1760000,2.61,1500000,150.00,1630000,2.42,60000,0.09
17,341,Exit long,Close entry(s) order Long,2020-04-23T09:00:00+0700,691,1,1760000,2.61,1500000,150.00,1630000,2.42,60000,0.09
18,346,Entry long,Long,2020-04-23T10:15:00+0700,687.3,1,-620000,-0.90,880000,88.00,270000,0.39,840000,1.22
18,361,Exit long,Close entry(s) order Long,2020-04-24T09:15:00+0700,681.1,1,-620000,-0.90,880000,88.00,270000,0.39,840000,1.22
19,376,Entry long,Long,2020-04-24T14:15:00+0700,691.5,1,1360000,1.97,2240000,224.00,1850000,2.68,30000,0.04
19,381,Exit long,Close entry(s) order Long,2020-04-27T09:30:00+0700,705.1,1,1360000,1.97,2240000,224.00,1850000,2.68,30000,0.04
20,391,Entry long,Long,2020-04-27T13:15:00+0700,699.5,1,-1100000,-1.57,1140000,114.00,0,0.00,1310000,1.87
20,401,Exit long,Close entry(s) order Long,2020-04-28T09:45:00+0700,688.5,1,-1100000,-1.57,1140000,114.00,0,0.00,1310000,1.87
21,406,Entry long,Long,2020-04-28T11:00:00+0700,689,1,1170000,1.70,2310000,231.00,1250000,1.81,370000,0.54
21,421,Exit long,Close entry(s) order Long,2020-04-29T10:00:00+0700,700.7,1,1170000,1.70,2310000,231.00,1250000,1.81,370000,0.54
22,436,Entry long,Long,2020-05-04T09:00:00+0700,682,1,920000,1.35,3230000,323.00,950000,1.39,200000,0.29
22,441,Exit long,Close entry(s) order Long,2020-05-04T10:15:00+0700,691.2,1,920000,1.35,3230000,323.00,950000,1.39,200000,0.29
23,451,Entry long,Long,2020-05-04T14:00:00+0700,689.4,1,510000,0.74,3740000,374.00,490000,0.71,540000,0.78
23,461,Exit long,Close entry(s) order Long,2020-05-05T10:30:00+0700,694.5,1,510000,0.74,3740000,374.00,490000,0.71,540000,0.78
24,466,Entry long,Long,2020-05-05T13:00:00+0700,694.2,1,390000,0.56,4130000,413.00,450000,0.65,230000,0.33
24,481,Exit long,Close entry(s) order Long,2020-05-06T10:45:00+0700,698.1,1,390000,0.56,4130000,413.00,450000,0.65,230000,0.33
25,496,Entry long,Long,2020-05-07T09:45:00+0700,719.6,1,610000,0.85,4740000,474.00,820000,1.14,60000,0.08
25,501,Exit long,Close entry(s) order Long,2020-05-07T11:00:00+0700,725.7,1,610000,0.85,4740000,474.00,820000,1.14,60000,0.08
26,511,Entry long,Long,2020-05-07T14:45:00+0700,742,1,2280000,3.07,7020000,702.00,2380000,3.21,0,0.00
26,521,Exit long,Close entry(s) order Long,2020-05-08T11:15:00+0700,764.8,1,2280000,3.07,7020000,702.00,2380000,3.21,0,0.00
27,526,Entry long,Long,2020-05-08T13:45:00+0700,784.4,1,-1940000,-2.47,5080000,508.00,40000,0.05,5440000,6.94
27,541,Exit long,Close entry(s) order Long,2020-05-11T11:30:00+0700,765,1,-1940000,-2.47,5080000,508.00,40000,0.05,5440000,6.94
28,556,Entry long,Long,2020-05-12T10:30:00+0700,759.6,1,-470000,-0.62,4610000,461.00,480000,0.63,840000,1.11
28,561,Exit long,Close entry(s) order Long,2020-05-12T13:00:00+0700,754.9,1,-470000,-0.62,4610000,461.00,480000,0.63,840000,1.11
29,571,Entry long,Long,2020-05-13T09:30:00+0700,753.9,1,2610000,3.46,7220000,722.00,2640000,3.50,230000,0.31
29,581,Exit long,Close entry(s) order Long,2020-05-13T13:15:00+0700,780,1,2610000,3.46,7220000,722.00,2640000,3.50,230000,0.31
30,586,Entry long,Long,2020-05-13T14:30:00+0700,767,1,300000,0.39,7520000,752.00,600000,0.78,700000,0.91
30,601,Exit long,Close entry(s) order Long,2020-05-14T13:30:00+0700,770,1,300000,0.39,7520000,752.00,600000,0.78,700000,0.91
31,616,Entry long,Long,2020-05-15T11:15:00+0700,770.6,1,-400000,-0.52,7120000,712.00,190000,0.25,560000,0.73
31,621,Exit long,Close entry(s) order Long,2020-05-15T13:45:00+0700,766.6,1,-400000,-0.52,7120000,712.00,190000,0.25,560000,0.73
32,631,Entry long,Long,2020-05-18T10:15:00+0700,770.9,1,810000,1.05,7930000,793.00,1000000,1.30,30000,0.04
32,641,Exit long,Close entry(s) order Long,2020-05-18T14:00:00+0700,779,1,810000,1.05,7930000,793.00,1000000,1.30,30000,0.04
33,646,Entry long,Long,2020-05-19T09:15:00+0700,806.9,1,-1340000,-1.66,6590000,659.00,670000,0.83,1430000,1.77
33,661,Exit long,Close entry(s) order Long,2020-05-19T14:15:00+0700,793.5,1,-1340000,-1.66,6590000,659.00,670000,0.83,1430000,1.77
34,676,Entry long,Long,2020-05-20T13:15:00+0700,800.1,1,460000,0.57,7050000,705.00,490000,0.61,240000,0.30
34,681,Exit long,Close entry(s) order Long,2020-05-20T14:30:00+0700,804.7,1,460000,0.57,7050000,705.00,490000,0.61,240000,0.30
35,691,Entry long,Long,2020-05-21T11:00:00+0700,809.1,1,5490000,6.79,12540000,1254.00,480000,0.59,400000,0.49
35,701,Exit long,Close entry(s) order Long,2020-05-21T14:45:00+0700,864,1,5490000,6.79,12540000,1254.00,480000,0.59,400000,0.49
36,706,Entry long,Long,2020-05-22T10:00:00+0700,791,1,-1450000,-1.83,11090000,1109.00,340000,0.43,2210000,2.79
36,721,Exit long,Close entry(s) order Long,2020-05-25T09:00:00+0700,776.5,1,-1450000,-1.83,11090000,1109.00,340000,0.43,2210000,2.79
37,736,Entry long,Long,2020-05-25T14:00:00+0700,777.1,1,1320000,1.70,12410000,1241.00,1430000,1.84,250000,0.32
37,741,Exit long,Close entry(s) order Long,2020-05-26T09:15:00+0700,790.3,1,1320000,1.70,12410000,1241.00,1430000,1.84,250000,0.32
38,751,Entry long,Long,2020-05-26T13:00:00+0700,796.2,1,1340000,1.68,13750000,1375.00,1660000,2.08,160000,0.20
38,761,Exit long,Close entry(s) order Long,2020-05-27T09:30:00+0700,809.6,1,1340000,1.68,13750000,1375.00,1660000,2.08,160000,0.20
39,766,Entry long,Long,2020-05-27T10:45:00+0700,811.4,1,-1840000,-2.27,11910000,1191.00,0,0.00,3030000,3.73
39,781,Exit long,Close entry(s) order Long,2020-05-28T09:45:00+0700,793,1,-1840000,-2.27,11910000,1191.00,0,0.00,3030000,3.73
40,796,Entry long,Long,2020-05-28T14:45:00+0700,790,1,-520000,-0.66,11390000,1139.00,0,0.00,880000,1.11
40,801,Exit long,Close entry(s) order Long,2020-05-29T10:00:00+0700,784.8,1,-520000,-0.66,11390000,1139.00,0,0.00,880000,1.11
41,811,Entry long,Long,2020-05-29T13:45:00+0700,782.3,1,1660000,2.12,13050000,1305.00,1650000,2.11,180000,0.23
41,821,Exit long,Close entry(s) order Long,2020-06-01T10:15:00+0700,798.9,1,1660000,2.12,13050000,1305.00,1650000,2.11,180000,0.23
42,826,Entry long,Long,2020-06-01T11:30:00+0700,800.2,1,460000,0.57,13510000,1351.00,1480000,1.85,20000,0.02
42,841,Exit long,Close entry(s) order Long,2020-06-02T10:30:00+0700,804.8,1,460000,0.57,13510000,1351.00,1480000,1.85,20000,0.02
43,856,Entry long,Long,2020-06-03T09:30:00+0700,816.7,1,80000,0.10,13590000,1359.00,320000,0.39,490000,0.60
43,861,Exit long,Close entry(s) order Long,2020-06-03T10:45:00+0700,817.5,1,80000,0.10,13590000,1359.00,320000,0.39,490000,0.60
44,871,Entry long,Long,2020-06-03T14:30:00+0700,818.5,1,-80000,-0.10,13510000,1351.00,380000,0.46,140000,0.17
