Trade #,Bar Index,Type,Signal,Date/Time,Price VND,Contracts,Profit VND,Profit %,Cumulative profit VND,Cumulative profit %,Run-up VND,Run-up %,Drawdown VND,Drawdown %
1,1,Entry long,Long,2020-03-27T09:15:00+0700,631.6,1,-4520000,-7.16,-7360000,-736.00,340000,0.54,3870000,6.13
1,21,Exit long,Close entry(s) order Long,2020-03-30T09:30:00+0700,586.4,1,-4520000,-7.16,-7360000,-736.00,340000,0.54,3870000,6.13
2,16,Entry long,Long,2020-03-27T14:15:00+0700,614.8,1,-2840000,-4.62,-7360000,-736.00,0,0.00,3870000,6.29
2,21,Exit long,Close entry(s) order Long,2020-03-30T09:30:00+0700,586.4,1,-2840000,-4.62,-7360000,-736.00,0,0.00,3870000,6.29
3,31,Entry long,Long,2020-03-30T13:15:00+0700,590.4,1,640000,1.08,-6720000,-672.00,850000,1.44,870000,1.47
3,41,Exit long,Close entry(s) order Long,2020-03-31T09:45:00+0700,596.8,1,640000,1.08,-6720000,-672.00,850000,1.44,870000,1.47
4,46,Entry long,Long,2020-03-31T11:00:00+0700,599,1,-720000,-1.20,-7440000,-744.00,320000,0.53,3890000,6.49
4,61,Exit long,Close entry(s) order Long,2020-04-01T10:00:00+0700,591.8,1,-720000,-1.20,-7440000,-744.00,320000,0.53,3890000,6.49
5,76,Entry long,Long,2020-04-03T09:00:00+0700,603.8,1,320000,0.53,-7120000,-712.00,800000,1.32,10000,0.02
5,81,Exit long,Close entry(s) order Long,2020-04-03T10:15:00+0700,607,1,320000,0.53,-7120000,-712.00,800000,1.32,10000,0.02
6,91,Entry long,Long,2020-04-03T14:00:00+0700,612.2,1,2930000,4.79,-4190000,-419.00,3280000,5.36,220000,0.36
6,101,Exit long,Close entry(s) order Long,2020-04-06T10:30:00+0700,641.5,1,2930000,4.79,-4190000,-419.00,3280000,5.36,220000,0.36
7,106,Entry long,Long,2020-04-06T13:00:00+0700,643.7,1,1800000,2.80,-2390000,-239.00,3430000,5.33,0,0.00
7,121,Exit long,Close entry(s) order Long,2020-04-07T11:00:00+0700,661.7,1,1800000,2.80,-2390000,-239.00,3430000,5.33,0,0.00
8,136,Entry long,Long,2020-04-08T10:00:00+0700,660.7,1,110000,0.17,-2280000,-228.00,420000,0.64,210000,0.32
8,141,Exit long,Close entry(s) order Long,2020-04-08T11:15:00+0700,661.8,1,110000,0.17,-2280000,-228.00,420000,0.64,210000,0.32
9,151,Entry long,Long,2020-04-09T09:00:00+0700,681,1,20000,0.03,-2260000,-226.00,390000,0.57,300000,0.44
9,161,Exit long,Close entry(s) order Long,2020-04-09T11:30:00+0700,681.2,1,20000,0.03,-2260000,-226.00,390000,0.57,300000,0.44
10,166,Entry long,Long,2020-04-09T14:00:00+0700,683.3,1,-30000,-0.04,-2290000,-229.00,110000,0.16,870000,1.27
10,181,Exit long,Close entry(s) order Long,2020-04-10T13:00:00+0700,683,1,-30000,-0.04,-2290000,-229.00,110000,0.16,870000,1.27
11,196,Entry long,Long,2020-04-13T10:45:00+0700,693.9,1,-150000,-0.22,-2440000,-244.00,20000,0.03,710000,1.02
11,201,Exit long,Close entry(s) order Long,2020-04-13T13:15:00+0700,692.4,1,-150000,-0.22,-2440000,-244.00,20000,0.03,710000,1.02
12,211,Entry long,Long,2020-04-14T09:45:00+0700,697.6,1,-530000,-0.76,-2970000,-297.00,60000,0.09,950000,1.36
12,221,Exit long,Close entry(s) order Long,2020-04-14T13:30:00+0700,692.3,1,-530000,-0.76,-2970000,-297.00,60000,0.09,950000,1.36
13,226,Entry long,Long,2020-04-14T14:45:00+0700,705.2,1,1080000,1.53,-1890000,-189.00,1430000,2.03,0,0.00
13,241,Exit long,Close entry(s) order Long,2020-04-15T13:45:00+0700,716,1,1080000,1.53,-1890000,-189.00,1430000,2.03,0,0.00
14,256,Entry long,Long,2020-04-16T11:30:00+0700,721.1,1,20000,0.03,-1870000,-187.00,720000,1.00,110000,0.15
14,261,Exit long,Close entry(s) order Long,2020-04-16T14:00:00+0700,721.3,1,20000,0.03,-1870000,-187.00,720000,1.00,110000,0.15
15,271,Entry long,Long,2020-04-17T10:30:00+0700,718,1,-500000,-0.70,-2370000,-237.00,250000,0.35,630000,0.88
15,281,Exit long,Close entry(s) order Long,2020-04-17T14:15:00+0700,713,1,-500000,-0.70,-2370000,-237.00,250000,0.35,630000,0.88
16,286,Entry long,Long,2020-04-20T09:30:00+0700,716.7,1,-360000,-0.50,-2730000,-273.00,70000,0.10,490000,0.68
16,301,Exit long,Close entry(s) order Long,2020-04-20T14:30:00+0700,713.1,1,-360000,-0.50,-2730000,-273.00,70000,0.10,490000,0.68
17,316,Entry long,Long,2020-04-21T13:30:00+0700,673.8,1,-370000,-0.55,-3100000,-310.00,320000,0.47,370000,0.55
17,321,Exit long,Close entry(s) order Long,2020-04-21T14:45:00+0700,670.1,1,-370000,-0.55,-3100000,-310.00,320000,0.47,370000,0.55
18,331,Entry long,Long,2020-04-22T11:15:00+0700,673.4,1,1760000,2.61,-1340000,-134.00,1630000,2.42,60000,0.09
18,341,Exit long,Close entry(s) order Long,2020-04-23T09:00:00+0700,691,1,1760000,2.61,-1340000,-134.00,1630000,2.42,60000,0.09
19,346,Entry long,Long,2020-04-23T10:15:00+0700,687.3,1,-620000,-0.90,-1960000,-196.00,270000,0.39,840000,1.22
19,361,Exit long,Close entry(s) order Long,2020-04-24T09:15:00+0700,681.1,1,-620000,-0.90,-1960000,-196.00,270000,0.39,840000,1.22
20,376,Entry long,Long,2020-04-24T14:15:00+0700,691.5,1,1360000,1.97,-600000,-60.00,1850000,2.68,30000,0.04
20,381,Exit long,Close entry(s) order Long,2020-04-27T09:30:00+0700,705.1,1,1360000,1.97,-600000,-60.00,1850000,2.68,30000,0.04
21,391,Entry long,Long,2020-04-27T13:15:00+0700,699.5,1,-1100000,-1.57,-1700000,-170.00,0,0.00,1310000,1.87
21,401,Exit long,Close entry(s) order Long,2020-04-28T09:45:00+0700,688.5,1,-1100000,-1.57,-1700000,-170.00,0,0.00,1310000,1.87
22,406,Entry long,Long,2020-04-28T11:00:00+0700,689,1,1170000,1.70,-530000,-53.00,1250000,1.81,370000,0.54
22,421,Exit long,Close entry(s) order Long,2020-04-29T10:00:00+0700,700.7,1,1170000,1.70,-530000,-53.00,1250000,1.81,370000,0.54
23,436,Entry long,Long,2020-05-04T09:00:00+0700,682,1,920000,1.35,390000,39.00,950000,1.39,200000,0.29
23,441,Exit long,Close entry(s) order Long,2020-05-04T10:15:00+0700,691.2,1,920000,1.35,390000,39.00,950000,1.39,200000,0.29
24,451,Entry long,Long,2020-05-04T14:00:00+0700,689.4,1,510000,0.74,900000,90.00,490000,0.71,540000,0.78
24,461,Exit long,Close entry(s) order Long,2020-05-05T10:30:00+0700,694.5,1,510000,0.74,900000,90.00,490000,0.71,540000,0.78
25,466,Entry long,Long,2020-05-05T13:00:00+0700,694.2,1,390000,0.56,1290000,129.00,450000,0.65,230000,0.33
25,481,Exit long,Close entry(s) order Long,2020-05-06T10:45:00+0700,698.1,1,390000,0.56,1290000,129.00,450000,0.65,230000,0.33
26,496,Entry long,Long,2020-05-07T09:45:00+0700,719.6,1,610000,0.85,1900000,190.00,820000,1.14,60000,0.08
26,501,Exit long,Close entry(s) order Long,2020-05-07T11:00:00+0700,725.7,1,610000,0.85,1900000,190.00,820000,1.14,60000,0.08
27,511,Entry long,Long,2020-05-07T14:45:00+0700,742,1,2280000,3.07,4180000,418.00,2380000,3.21,0,0.00
27,521,Exit long,Close entry(s) order Long,2020-05-08T11:15:00+0700,764.8,1,2280000,3.07,4180000,418.00,2380000,3.21,0,0.00
28,526,Entry long,Long,2020-05-08T13:45:00+0700,784.4,1,-1940000,-2.47,2240000,224.00,40000,0.05,5440000,6.94
28,541,Exit long,Close entry(s) order Long,2020-05-11T11:30:00+0700,765,1,-1940000,-2.47,2240000,224.00,40000,0.05,5440000,6.94
29,556,Entry long,Long,2020-05-12T10:30:00+0700,759.6,1,-470000,-0.62,1770000,177.00,480000,0.63,840000,1.11
