Trade #,Bar Index,Type,Signal,Date/Time,Price VND,Contracts,Profit VND,Profit %,Cumulative profit VND,Cumulative profit %,Run-up VND,Run-up %,Drawdown VND,Drawdown %
1,1,Entry long,Long,2020-03-27T09:15:00+0700,631.6,1,0,0.00,0,0.00,0,0.00,0,0.00
1,27571,Exit long,Open,2026-02-12T14:45:00+0700,2021,1,1389,219.98,1389,219.98,1389,219.98,0,0.00
2,31,Entry long,Long,2020-03-30T13:15:00+0700,590.4,1,0,0.00,0,0.00,0,0.00,0,0.00
2,27571,Exit long,Open,2026-02-12T14:45:00+0700,2021,1,1431,242.31,1431,242.31,1431,242.31,0,0.00
3,61,Entry long,Long,2020-04-01T10:00:00+0700,591.8,1,0,0.00,0,0.00,0,0.00,0,0.00
3,27571,Exit long,Open,2026-02-12T14:45:00+0700,2021,1,1429,241.50,1429,241.50,1429,241.50,0,0.00
4,91,Entry long,Long,2020-04-03T14:00:00+0700,612.2,1,0,0.00,0,0.00,0,0.00,0,0.00
4,27571,Exit long,Open,2026-02-12T14:45:00+0700,2021,1,1409,230.12,1409,230.12,1409,230.12,0,0.00
5,121,Entry long,Long,2020-04-07T11:00:00+0700,661.7,1,0,0.00,0,0.00,0,0.00,0,0.00
5,27571,Exit long,Open,2026-02-12T14:45:00+0700,2021,1,1359,205.43,1359,205.43,1359,205.43,0,0.00
6,151,Entry long,Long,2020-04-09T09:00:00+0700,681,1,0,0.00,0,0.00,0,0.00,0,0.00
6,27571,Exit long,Open,2026-02-12T14:45:00+0700,2021,1,1340,196.77,1340,196.77,1340,196.77,0,0.00
7,181,Entry long,Long,2020-04-10T13:00:00+0700,683,1,0,0.00,0,0.00,0,0.00,0,0.00
7,27571,Exit long,Open,2026-02-12T14:45:00+0700,2021,1,1338,195.90,1338,195.90,1338,195.90,0,0.00
8,211,Entry long,Long,2020-04-14T09:45:00+0700,697.6,1,0,0.00,0,0.00,0,0.00,0,0.00
8,27571,Exit long,Open,2026-02-12T14:45:00+0700,2021,1,1323,189.71,1323,189.71,1323,189.71,0,0.00
9,241,Entry long,Long,2020-04-15T13:45:00+0700,716,1,0,0.00,0,0.00,0,0.00,0,0.00
9,27571,Exit long,Open,2026-02-12T14:45:00+0700,2021,1,1305,182.26,1305,182.26,1305,182.26,0,0.00
10,271,Entry long,Long,2020-04-17T10:30:00+0700,718,1,0,0.00,0,0.00,0,0.00,0,0.00
10,27571,Exit long,Open,2026-02-12T14:45:00+0700,2021,1,1303,181.48,1303,181.48,1303,181.48,0,0.00
11,301,Entry long,Long,2020-04-20T14:30:00+0700,713.1,1,0,0.00,0,0.00,0,0.00,0,0.00
11,27571,Exit long,Open,2026-02-12T14:45:00+0700,2021,1,1308,183.41,1308,183.41,1308,183.41,0,0.00
12,331,Entry long,Long,2020-04-22T11:15:00+0700,673.4,1,0,0.00,0,0.00,0,0.00,0,0.00
12,27571,Exit long,Open,2026-02-12T14:45:00+0700,2021,1,1348,200.12,1348,200.12,1348,200.12,0,0.00
13,361,Entry long,Long,2020-04-24T09:15:00+0700,681.1,1,0,0.00,0,0.00,0,0.00,0,0.00
13,27571,Exit long,Open,2026-02-12T14:45:00+0700,2021,1,1340,196.73,1340,196.73,1340,196.73,0,0.00
14,391,Entry long,Long,2020-04-27T13:15:00+0700,699.5,1,0,0.00,0,0.00,0,0.00,0,0.00
14,27571,Exit long,Open,2026-02-12T14:45:00+0700,2021,1,1322,188.92,1322,188.92,1322,188.92,0,0.00
15,421,Entry long,Long,2020-04-29T10:00:00+0700,700.7,1,0,0.00,0,0.00,0,0.00,0,0.00
15,27571,Exit long,Open,2026-02-12T14:45:00+0700,2021,1,1320,188.43,1320,188.43,1320,188.43,0,0.00
16,451,Entry long,Long,2020-05-04T14:00:00+0700,689.4,1,0,0.00,0,0.00,0,0.00,0,0.00
16,27571,Exit long,Open,2026-02-12T14:45:00+0700,2021,1,1332,193.15,1332,193.15,1332,193.15,0,0.00
17,481,Entry long,Long,2020-05-06T10:45:00+0700,698.1,1,0,0.00,0,0.00,0,0.00,0,0.00
17,27571,Exit long,Open,2026-02-12T14:45:00+0700,2021,1,1323,189.50,1323,189.50,1323,189.50,0,0.00
18,511,Entry long,Long,2020-05-07T14:45:00+0700,742,1,0,0.00,0,0.00,0,0.00,0,0.00
18,27571,Exit long,Open,2026-02-12T14:45:00+0700,2021,1,1279,172.37,1279,172.37,1279,172.37,0,0.00
19,541,Entry long,Long,2020-05-11T11:30:00+0700,765,1,0,0.00,0,0.00,0,0.00,0,0.00
19,27571,Exit long,Open,2026-02-12T14:45:00+0700,2021,1,1256,164.18,1256,164.18,1256,164.18,0,0.00
20,571,Entry long,Long,2020-05-13T09:30:00+0700,753.9,1,0,0.00,0,0.00,0,0.00,0,0.00
20,27571,Exit long,Open,2026-02-12T14:45:00+0700,2021,1,1267,168.07,1267,168.07,1267,168.07,0,0.00
21,601,Entry long,Long,2020-05-14T13:30:00+0700,770,1,0,0.00,0,0.00,0,0.00,0,0.00
21,27571,Exit long,Open,2026-02-12T14:45:00+0700,2021,1,1251,162.47,1251,162.47,1251,162.47,0,0.00
22,631,Entry long,Long,2020-05-18T10:15:00+0700,770.9,1,0,0.00,0,0.00,0,0.00,0,0.00
22,27571,Exit long,Open,2026-02-12T14:45:00+0700,2021,1,1250,162.16,1250,162.16,1250,162.16,0,0.00
23,661,Entry long,Long,2020-05-19T14:15:00+0700,793.5,1,0,0.00,0,0.00,0,0.00,0,0.00
23,27571,Exit long,Open,2026-02-12T14:45:00+0700,2021,1,1228,154.69,1228,154.69,1228,154.69,0,0.00
24,691,Entry long,Long,2020-05-21T11:00:00+0700,809.1,1,0,0.00,0,0.00,0,0.00,0,0.00
