Trade #,Bar Index,Type,Signal,Date/Time,Price VND,Contracts,Profit VND,Profit %,Cumulative profit VND,Cumulative profit %,Run-up VND,Run-up %,Drawdown VND,Drawdown %
1,1,Entry long,Long,2020-03-27T09:15:00+0700,631.6,5,0,0.00,0,0.00,0,0.00,0,0.00
1,27571,Exit long,Open,2026-02-12T14:45:00+0700,2021,5,6947,219.98,6947,219.98,6947,219.98,0,0.00
2,3,Entry long,Long,2020-03-27T09:45:00+0700,628.9,5,0,0.00,0,0.00,0,0.00,0,0.00
2,27571,Exit long,Open,2026-02-12T14:45:00+0700,2021,5,6960,221.35,6960,221.35,6960,221.35,0,0.00
3,5,Entry long,Long,2020-03-27T10:15:00+0700,630,5,0,0.00,0,0.00,0,0.00,0,0.00
3,27571,Exit long,Open,2026-02-12T14:45:00+0700,2021,5,6955,220.79,6955,220.79,6955,220.79,0,0.00
4,7,Entry long,Long,2020-03-27T10:45:00+0700,631.3,5,0,0.00,0,0.00,0,0.00,0,0.00
4,27571,Exit long,Open,2026-02-12T14:45:00+0700,2021,5,6948,220.13,6948,220.13,6948,220.13,0,0.00
5,9,Entry long,Long,2020-03-27T11:15:00+0700,629.6,5,0,0.00,0,0.00,0,0.00,0,0.00
5,27571,Exit long,Open,2026-02-12T14:45:00+0700,2021,5,6957,221.00,6957,221.00,6957,221.00,0,0.00
