Metric,All VND,All %,Long VND,Long %,Short VND,Short %
Total P&L,-7.15516e+09,-715516,,,,
Realized P&L,-7.15516e+09,-715516,,,,
Unrealized P&L,0,0,,,,
Net profit,-7.15516e+09,-715516,-7.15516e+09,-715516,0,0
Gross profit,0,0,0,0,0,0
Gross loss,7.15516e+09,715516,-7.15516e+09,-715516,0,0
Commission paid,0,,0,,0,
Buy & hold return,2199810,219.981,,,,
Max equity run-up,5.3822e+08,53822,,,,
Max equity drawdown,7.40844e+09,2913.4969,,,,
Unrealized max drawdown,7.45593e+09,745593,,,,
Real max drawdown,7.10767e+09,7.1089297,,,,
Max contracts held,1583,,1583,,0,
,,,,,,
Total trades,1,,1,,0,
Total open trades,0,,0,,0,
Winning trades,0,,0,,0,
Losing trades,1,,1,,0,
Percent profitable,,0,,0,,0
Avg P&L,-7.15516e+09,-715516,-7.15516e+09,-715516,0,0
Avg winning trade,0,0,0,0,0,
Avg losing trade,-7.15516e+09,-715516,-7.15516e+09,-715516,0,
Ratio avg win / avg loss,0,,0,,0,
Largest winning trade,0,,0,,0,
Largest winning trade percent,,0,,0,,0
Largest losing trade,-7.15516e+09,,-7.15516e+09,,0,
Largest losing trade percent,,-7.1564281,,-7.1564281,,0
Avg # bars in trades,20,,20,,0,
Avg # bars in winning trades,0,,0,,0,
Avg # bars in losing trades,20,,20,,0,
,,,,,,
Sharpe ratio,-0.093607925,,,,,
Sortino ratio,-0.0016915557,,,,,
Profit factor,0,,0,,0,
Margin calls,0,,0,,0,
