Trade #,Bar Index,Type,Signal,Date/Time,Price VND,Contracts,Profit VND,Profit %,Cumulative profit VND,Cumulative profit %,Run-up VND,Run-up %,Drawdown VND,Drawdown %
1,45,Entry long,My Long Entry ID,2020-03-31T10:45:00+0700,598.5,1,-2000000,-3.34,-2000000,-200.00,370000,0.62,190000,0.32
1,49,Exit long,Loss,2020-03-31T13:00:00+0700,578.5,1,-2000000,-3.34,-2000000,-200.00,370000,0.62,190000,0.32
2,68,Entry long,My Long Entry ID,2020-04-01T13:00:00+0700,585.5,1,2000000,3.42,0,0.00,1220000,2.08,650000,1.11
2,76,Exit long,Profit,2020-04-03T09:00:00+0700,605.5,1,2000000,3.42,0,0.00,1220000,2.08,650000,1.11
3,154,Entry long,My Long Entry ID,2020-04-09T09:45:00+0700,681.3,1,2000000,2.94,2000000,200.00,1800000,2.64,920000,1.35
3,224,Exit long,Profit,2020-04-14T14:15:00+0700,701.3,1,2000000,2.94,2000000,200.00,1800000,2.64,920000,1.35
4,338,Entry long,My Long Entry ID,2020-04-22T14:15:00+0700,683.8,1,2310000,3.38,4310000,431.00,1450000,2.12,880000,1.29
4,379,Exit long,Profit,2020-04-27T09:00:00+0700,706.9,1,2310000,3.38,4310000,431.00,1450000,2.12,880000,1.29
5,417,Entry long,My Long Entry ID,2020-04-29T09:00:00+0700,695.8,1,2220000,3.19,6530000,653.00,1880000,2.70,1580000,2.27
5,492,Exit long,Profit,2020-05-06T14:45:00+0700,718,1,2220000,3.19,6530000,653.00,1880000,2.70,1580000,2.27
6,545,Entry long,My Long Entry ID,2020-05-11T13:45:00+0700,753.8,1,2000000,2.65,8530000,853.00,1570000,2.08,550000,0.73
6,578,Exit long,Profit,2020-05-13T11:15:00+0700,773.8,1,2000000,2.65,8530000,853.00,1570000,2.08,550000,0.73
7,608,Entry long,My Long Entry ID,2020-05-15T09:15:00+0700,775.6,1,2940000,3.79,11470000,1147.00,1240000,1.60,1250000,1.61
7,645,Exit long,Profit,2020-05-19T09:00:00+0700,805,1,2940000,3.79,11470000,1147.00,1240000,1.60,1250000,1.61
8,684,Entry long,My Long Entry ID,2020-05-21T09:15:00+0700,807.7,1,5630000,6.97,17100000,1710.00,620000,0.77,260000,0.32
8,701,Exit long,Profit,2020-05-21T14:45:00+0700,864,1,5630000,6.97,17100000,1710.00,620000,0.77,260000,0.32
9,735,Entry long,My Long Entry ID,2020-05-25T13:45:00+0700,780.4,1,2000000,2.56,19100000,1910.00,1910000,2.45,580000,0.74
9,754,Exit long,Profit,2020-05-26T13:45:00+0700,800.4,1,2000000,2.56,19100000,1910.00,1910000,2.45,580000,0.74
10,818,Entry long,My Long Entry ID,2020-06-01T09:30:00+0700,796,1,2410000,3.03,21510000,2151.00,1900000,2.39,70000,0.09
10,854,Exit long,Profit,2020-06-03T09:00:00+0700,820.1,1,2410000,3.03,21510000,2151.00,1900000,2.39,70000,0.09
11,856,Entry long,My Long Entry ID,2020-06-03T09:30:00+0700,816.7,1,2000000,2.45,23510000,2351.00,1950000,2.39,720000,0.88
11,915,Exit long,Profit,2020-06-08T10:00:00+0700,836.7,1,2000000,2.45,23510000,2351.00,1950000,2.39,720000,0.88
12,966,Entry long,My Long Entry ID,2020-06-10T14:30:00+0700,839.6,1,-2000000,-2.38,21510000,2151.00,20000,0.02,1820000,2.17
12,982,Exit long,Loss,2020-06-11T13:45:00+0700,819.6,1,-2000000,-2.38,21510000,2151.00,20000,0.02,1820000,2.17
13,1010,Entry long,My Long Entry ID,2020-06-15T10:00:00+0700,800.3,1,-2650000,-3.31,18860000,1886.00,320000,0.40,930000,1.16
13,1017,Exit long,Loss,2020-06-15T13:00:00+0700,773.8,1,-2650000,-3.31,18860000,1886.00,320000,0.40,930000,1.16
14,1036,Entry long,My Long Entry ID,2020-06-16T13:00:00+0700,797,1,-2100000,-2.63,16760000,1676.00,870000,1.09,1350000,1.69
14,1158,Exit long,Loss,2020-06-25T09:00:00+0700,776,1,-2100000,-2.63,16760000,1676.00,870000,1.09,1350000,1.69
15,1182,Entry long,My Long Entry ID,2020-06-26T10:15:00+0700,785.4,1,-2000000,-2.55,14760000,1476.00,110000,0.14,1730000,2.20
15,1201,Exit long,Loss,2020-06-29T10:15:00+0700,765.4,1,-2000000,-2.55,14760000,1476.00,110000,0.14,1730000,2.20
16,1224,Entry long,My Long Entry ID,2020-06-30T11:15:00+0700,767,1,2000000,2.61,16760000,1676.00,1890000,2.46,1600000,2.09
16,1299,Exit long,Profit,2020-07-06T11:00:00+0700,787,1,2000000,2.61,16760000,1676.00,1890000,2.46,1600000,2.09
17,1349,Entry long,My Long Entry ID,2020-07-09T09:15:00+0700,804.8,1,-2000000,-2.49,14760000,1476.00,1720000,2.14,1930000,2.40
17,1562,Exit long,Loss,2020-07-24T10:15:00+0700,784.8,1,-2000000,-2.49,14760000,1476.00,1720000,2.14,1930000,2.40
18,1608,Entry long,My Long Entry ID,2020-07-28T13:30:00+0700,736.5,1,-2000000,-2.72,12760000,1276.00,1150000,1.56,1640000,2.23
18,1616,Exit long,Loss,2020-07-29T09:30:00+0700,716.5,1,-2000000,-2.72,12760000,1276.00,1150000,1.56,1640000,2.23
19,1638,Entry long,My Long Entry ID,2020-07-30T10:15:00+0700,729.8,1,2620000,3.59,15380000,1538.00,1590000,2.18,1950000,2.67
19,1690,Exit long,Profit,2020-08-04T09:00:00+0700,756,1,2620000,3.59,15380000,1538.00,1590000,2.18,1950000,2.67
20,1769,Entry long,My Long Entry ID,2020-08-10T09:45:00+0700,791.2,1,2000000,2.53,17380000,1738.00,1970000,2.49,1250000,1.58
20,1962,Exit long,Profit,2020-08-24T10:30:00+0700,811.2,1,2000000,2.53,17380000,1738.00,1970000,2.49,1250000,1.58
21,2032,Entry long,My Long Entry ID,2020-08-28T09:00:00+0700,822.3,1,2510000,3.05,19890000,1989.00,1570000,1.91,120000,0.15
21,2089,Exit long,Profit,2020-09-03T09:00:00+0700,847.4,1,2510000,3.05,19890000,1989.00,1570000,1.91,120000,0.15
22,2127,Entry long,My Long Entry ID,2020-09-07T09:00:00+0700,848,1,-2000000,-2.36,17890000,1789.00,0,0.00,1590000,1.87
22,2143,Exit long,Loss,2020-09-07T14:15:00+0700,828,1,-2000000,-2.36,17890000,1789.00,0,0.00,1590000,1.87
23,2169,Entry long,My Long Entry ID,2020-09-09T10:00:00+0700,822,1,2000000,2.43,19890000,1989.00,1970000,2.40,700000,0.85
23,2305,Exit long,Profit,2020-09-18T10:45:00+0700,842,1,2000000,2.43,19890000,1989.00,1970000,2.40,700000,0.85
24,2354,Entry long,My Long Entry ID,2020-09-22T14:45:00+0700,850,1,2180000,2.56,22070000,2207.00,1950000,2.29,220000,0.26
24,2526,Exit long,Profit,2020-10-06T09:00:00+0700,871.8,1,2180000,2.56,22070000,2207.00,1950000,2.29,220000,0.26
25,2555,Entry long,My Long Entry ID,2020-10-07T11:30:00+0700,869.7,1,2000000,2.30,24070000,2407.00,1910000,2.20,500000,0.57
25,2656,Exit long,Profit,2020-10-14T14:15:00+0700,889.7,1,2000000,2.30,24070000,2407.00,1910000,2.20,500000,0.57
26,2701,Entry long,My Long Entry ID,2020-10-19T10:00:00+0700,898.5,1,2000000,2.23,26070000,2607.00,1990000,2.21,180000,0.20
26,2770,Exit long,Profit,2020-10-22T14:15:00+0700,918.5,1,2000000,2.23,26070000,2607.00,1990000,2.21,180000,0.20
27,2773,Entry long,My Long Entry ID,2020-10-23T09:00:00+0700,927,1,2000000,2.16,28070000,2807.00,1890000,2.04,150000,0.16
27,2804,Exit long,Profit,2020-10-26T13:15:00+0700,947,1,2000000,2.16,28070000,2807.00,1890000,2.04,150000,0.16
28,2890,Entry long,My Long Entry ID,2020-11-02T09:45:00+0700,898.8,1,2000000,2.23,30070000,3007.00,1930000,2.15,340000,0.38
28,2952,Exit long,Profit,2020-11-05T11:00:00+0700,918.8,1,2000000,2.23,30070000,3007.00,1930000,2.15,340000,0.38
29,2987,Entry long,My Long Entry ID,2020-11-09T10:15:00+0700,918,1,2280000,2.48,32350000,3235.00,1800000,1.96,580000,0.63
29,3077,Exit long,Profit,2020-11-16T09:00:00+0700,940.8,1,2280000,2.48,32350000,3235.00,1800000,1.96,580000,0.63
30,3114,Entry long,My Long Entry ID,2020-11-17T14:45:00+0700,938,1,2000000,2.13,34350000,3435.00,1900000,2.03,790000,0.84
30,3188,Exit long,Profit,2020-11-23T14:15:00+0700,958,1,2000000,2.13,34350000,3435.00,1900000,2.03,790000,0.84
31,3247,Entry long,My Long Entry ID,2020-11-26T14:45:00+0700,970.2,1,2000000,2.06,36350000,3635.00,1980000,2.04,1050000,1.08
31,3345,Exit long,Profit,2020-12-04T09:30:00+0700,990.2,1,2000000,2.06,36350000,3635.00,1980000,2.04,1050000,1.08
32,3375,Entry long,My Long Entry ID,2020-12-07T13:30:00+0700,991.6,1,2050000,2.07,38400000,3840.00,1880000,1.90,150000,0.15
32,3457,Exit long,Profit,2020-12-14T09:00:00+0700,1012.1,1,2050000,2.07,38400000,3840.00,1880000,1.90,150000,0.15
33,3508,Entry long,My Long Entry ID,2020-12-16T13:30:00+0700,1027.3,1,2000000,1.95,40400000,4040.00,1710000,1.66,1570000,1.53
33,3552,Exit long,Profit,2020-12-21T09:00:00+0700,1047.3,1,2000000,1.95,40400000,4040.00,1710000,1.66,1570000,1.53
34,3636,Entry long,My Long Entry ID,2020-12-25T11:00:00+0700,1049.4,1,2010000,1.92,42410000,4241.00,1550000,1.48,320000,0.30
34,3647,Exit long,Profit,2020-12-28T09:00:00+0700,1069.5,1,2010000,1.92,42410000,4241.00,1550000,1.48,320000,0.30
35,3679,Entry long,My Long Entry ID,2020-12-29T13:30:00+0700,1071.4,1,2000000,1.87,44410000,4441.00,1250000,1.17,670000,0.63
35,3723,Exit long,Profit,2021-01-04T09:00:00+0700,1091.4,1,2000000,1.87,44410000,4441.00,1250000,1.17,670000,0.63
36,3860,Entry long,My Long Entry ID,2021-01-13T10:00:00+0700,1199.2,1,-2220000,-1.85,42190000,4219.00,230000,0.19,1920000,1.60
36,3931,Exit long,Loss,2021-01-18T14:45:00+0700,1177,1,-2220000,-1.85,42190000,4219.00,230000,0.19,1920000,1.60
37,3971,Entry long,My Long Entry ID,2021-01-21T09:00:00+0700,1128.8,1,2000000,1.77,44190000,4419.00,1450000,1.28,1580000,1.40
37,3986,Exit long,Profit,2021-01-21T14:00:00+0700,1148.8,1,2000000,1.77,44190000,4419.00,1450000,1.28,1580000,1.40
38,4094,Entry long,My Long Entry ID,2021-01-29T11:30:00+0700,1059,1,-2000000,-1.89,42190000,4219.00,1790000,1.69,1900000,1.79
38,4117,Exit long,Loss,2021-02-01T13:45:00+0700,1039,1,-2000000,-1.89,42190000,4219.00,1790000,1.69,1900000,1.79
39,4136,Entry long,My Long Entry ID,2021-02-02T13:45:00+0700,1090,1,2000000,1.83,44190000,4419.00,1950000,1.79,900000,0.83
