Trade #,Bar Index,Type,Signal,Date/Time,Price VND,Contracts,Profit VND,Profit %,Cumulative profit VND,Cumulative profit %,Run-up VND,Run-up %,Drawdown VND,Drawdown %
1,1,Entry long,Long,2020-03-27T09:15:00+0700,631.6,1,-270000,-0.43,-270000,-27.00,40000,0.06,440000,0.70
1,3,Exit long,Short,2020-03-27T09:45:00+0700,628.9,1,-270000,-0.43,-270000,-27.00,40000,0.06,440000,0.70
2,4,Entry long,Long,2020-03-27T10:00:00+0700,628.7,1,130000,0.21,-140000,-14.00,220000,0.35,30000,0.05
2,5,Exit long,Short,2020-03-27T10:15:00+0700,630,1,130000,0.21,-140000,-14.00,220000,0.35,30000,0.05
3,7,Entry long,Long,2020-03-27T10:45:00+0700,631.3,1,70000,0.11,-70000,-7.00,130000,0.21,270000,0.43
3,10,Exit long,Short,2020-03-27T11:30:00+0700,632,1,70000,0.11,-70000,-7.00,130000,0.21,270000,0.43
4,11,Entry long,Long,2020-03-27T13:00:00+0700,633.6,1,-4510000,-7.12,-4580000,-458.00,140000,0.22,4910000,7.75
4,22,Exit long,Short,2020-03-30T09:45:00+0700,588.5,1,-4510000,-7.12,-4580000,-458.00,140000,0.22,4910000,7.75
5,23,Entry long,Long,2020-03-30T10:00:00+0700,587,1,-90000,-0.15,-4670000,-467.00,80000,0.14,240000,0.41
5,25,Exit long,Short,2020-03-30T10:30:00+0700,586.1,1,-90000,-0.15,-4670000,-467.00,80000,0.14,240000,0.41
6,26,Entry long,Long,2020-03-30T10:45:00+0700,585.3,1,70000,0.12,-4600000,-460.00,150000,0.26,660000,1.13
6,28,Exit long,Short,2020-03-30T11:15:00+0700,586,1,70000,0.12,-4600000,-460.00,150000,0.26,660000,1.13
7,29,Entry long,Long,2020-03-30T11:30:00+0700,585.6,1,480000,0.82,-4120000,-412.00,940000,1.61,50000,0.09
7,31,Exit long,Short,2020-03-30T13:15:00+0700,590.4,1,480000,0.82,-4120000,-412.00,940000,1.61,50000,0.09
8,34,Entry long,Long,2020-03-30T14:00:00+0700,585,1,110000,0.19,-4010000,-401.00,110000,0.19,330000,0.56
8,35,Exit long,Short,2020-03-30T14:15:00+0700,586.1,1,110000,0.19,-4010000,-401.00,110000,0.19,330000,0.56
9,43,Entry long,Long,2020-03-31T10:15:00+0700,598.7,1,-20000,-0.03,-4030000,-403.00,50000,0.08,220000,0.37
9,45,Exit long,Short,2020-03-31T10:45:00+0700,598.5,1,-20000,-0.03,-4030000,-403.00,50000,0.08,220000,0.37
10,47,Entry long,Long,2020-03-31T11:15:00+0700,598,1,390000,0.65,-3640000,-364.00,420000,0.70,140000,0.23
10,48,Exit long,Short,2020-03-31T11:30:00+0700,601.9,1,390000,0.65,-3640000,-364.00,420000,0.70,140000,0.23
11,50,Entry long,Long,2020-03-31T13:15:00+0700,571.8,1,370000,0.65,-3270000,-327.00,1070000,1.87,0,0.00
11,51,Exit long,Short,2020-03-31T13:30:00+0700,575.5,1,370000,0.65,-3270000,-327.00,1070000,1.87,0,0.00
12,52,Entry long,Long,2020-03-31T13:45:00+0700,566.6,1,570000,1.01,-2700000,-270.00,810000,1.43,60000,0.11
12,53,Exit long,Short,2020-03-31T14:00:00+0700,572.3,1,570000,1.01,-2700000,-270.00,810000,1.43,60000,0.11
13,62,Entry long,Long,2020-04-01T10:15:00+0700,591,1,630000,1.07,-2070000,-207.00,630000,1.07,130000,0.22
13,63,Exit long,Short,2020-04-01T10:30:00+0700,597.3,1,630000,1.07,-2070000,-207.00,630000,1.07,130000,0.22
14,65,Entry long,Long,2020-04-01T11:00:00+0700,597.3,1,40000,0.07,-2030000,-203.00,210000,0.35,20000,0.03
14,66,Exit long,Short,2020-04-01T11:15:00+0700,597.7,1,40000,0.07,-2030000,-203.00,210000,0.35,20000,0.03
15,67,Entry long,Long,2020-04-01T11:30:00+0700,597,1,-720000,-1.21,-2750000,-275.00,90000,0.15,1800000,3.02
15,69,Exit long,Short,2020-04-01T13:15:00+0700,589.8,1,-720000,-1.21,-2750000,-275.00,90000,0.15,1800000,3.02
16,70,Entry long,Long,2020-04-01T13:30:00+0700,589.1,1,170000,0.29,-2580000,-258.00,250000,0.42,160000,0.27
16,71,Exit long,Short,2020-04-01T13:45:00+0700,590.8,1,170000,0.29,-2580000,-258.00,250000,0.42,160000,0.27
17,74,Entry long,Long,2020-04-01T14:30:00+0700,594,1,1520000,2.56,-1060000,-106.00,1560000,2.63,400000,0.67
17,77,Exit long,Short,2020-04-03T09:15:00+0700,609.2,1,1520000,2.56,-1060000,-106.00,1560000,2.63,400000,0.67
18,79,Entry long,Long,2020-04-03T09:45:00+0700,609.3,1,-10000,-0.02,-1070000,-107.00,30000,0.05,250000,0.41
18,82,Exit long,Short,2020-04-03T10:30:00+0700,609.2,1,-10000,-0.02,-1070000,-107.00,30000,0.05,250000,0.41
19,83,Entry long,Long,2020-04-03T10:45:00+0700,608,1,210000,0.35,-860000,-86.00,310000,0.51,450000,0.74
19,88,Exit long,Short,2020-04-03T13:15:00+0700,610.1,1,210000,0.35,-860000,-86.00,310000,0.51,450000,0.74
20,89,Entry long,Long,2020-04-03T13:30:00+0700,609.5,1,470000,0.77,-390000,-39.00,610000,1.00,20000,0.03
