Trade #,Bar Index,Type,Signal,Date/Time,Price VND,Contracts,Profit VND,Profit %,Cumulative profit VND,Cumulative profit %,Run-up VND,Run-up %,Drawdown VND,Drawdown %
1,1,Entry long,buy,2020-03-27T09:15:00+0700,631.6,1,-270000,-0.43,-270000,-27.00,40000,0.06,440000,0.70
1,3,Exit long,sell,2020-03-27T09:45:00+0700,628.9,1,-270000,-0.43,-270000,-27.00,40000,0.06,440000,0.70
2,3,Entry short,sell,2020-03-27T09:45:00+0700,628.9,1,20000,0.03,-250000,-25.00,70000,0.11,120000,0.19
2,4,Exit short,buy,2020-03-27T10:00:00+0700,628.7,1,20000,0.03,-250000,-25.00,70000,0.11,120000,0.19
3,4,Entry long,buy,2020-03-27T10:00:00+0700,628.7,1,130000,0.21,-120000,-12.00,220000,0.35,30000,0.05
3,5,Exit long,sell,2020-03-27T10:15:00+0700,630,1,130000,0.21,-120000,-12.00,220000,0.35,30000,0.05
4,5,Entry short,sell,2020-03-27T10:15:00+0700,630,1,-130000,-0.21,-250000,-25.00,0,0.00,270000,0.43
4,7,Exit short,buy,2020-03-27T10:45:00+0700,631.3,1,-130000,-0.21,-250000,-25.00,0,0.00,270000,0.43
5,7,Entry long,buy,2020-03-27T10:45:00+0700,631.3,1,70000,0.11,-180000,-18.00,130000,0.21,270000,0.43
5,10,Exit long,sell,2020-03-27T11:30:00+0700,632,1,70000,0.11,-180000,-18.00,130000,0.21,270000,0.43
6,10,Entry short,sell,2020-03-27T11:30:00+0700,632,1,3650000,5.78,3470000,347.00,3880000,6.14,300000,0.47
6,20,Exit short,buy,2020-03-30T09:15:00+0700,595.5,1,3650000,5.78,3470000,347.00,3880000,6.14,300000,0.47
7,20,Entry long,buy,2020-03-30T09:15:00+0700,595.5,1,-700000,-1.18,2770000,277.00,130000,0.22,1100000,1.85
7,22,Exit long,sell,2020-03-30T09:45:00+0700,588.5,1,-700000,-1.18,2770000,277.00,130000,0.22,1100000,1.85
8,22,Entry short,sell,2020-03-30T09:45:00+0700,588.5,1,150000,0.25,2920000,292.00,450000,0.76,50000,0.08
8,23,Exit short,buy,2020-03-30T10:00:00+0700,587,1,150000,0.25,2920000,292.00,450000,0.76,50000,0.08
9,23,Entry long,buy,2020-03-30T10:00:00+0700,587,1,-90000,-0.15,2830000,283.00,80000,0.14,240000,0.41
9,25,Exit long,sell,2020-03-30T10:30:00+0700,586.1,1,-90000,-0.15,2830000,283.00,80000,0.14,240000,0.41
10,25,Entry short,sell,2020-03-30T10:30:00+0700,586.1,1,80000,0.14,2910000,291.00,110000,0.19,140000,0.24
10,26,Exit short,buy,2020-03-30T10:45:00+0700,585.3,1,80000,0.14,2910000,291.00,110000,0.19,140000,0.24
11,26,Entry long,buy,2020-03-30T10:45:00+0700,585.3,1,1120000,1.91,4030000,403.00,1160000,1.98,660000,1.13
11,39,Exit long,sell,2020-03-31T09:15:00+0700,596.5,1,1120000,1.91,4030000,403.00,1160000,1.98,660000,1.13
12,39,Entry short,sell,2020-03-31T09:15:00+0700,596.5,1,-220000,-0.37,3810000,381.00,130000,0.22,550000,0.92
12,43,Exit short,buy,2020-03-31T10:15:00+0700,598.7,1,-220000,-0.37,3810000,381.00,130000,0.22,550000,0.92
13,43,Entry long,buy,2020-03-31T10:15:00+0700,598.7,1,-20000,-0.03,3790000,379.00,50000,0.08,220000,0.37
13,45,Exit long,sell,2020-03-31T10:45:00+0700,598.5,1,-20000,-0.03,3790000,379.00,50000,0.08,220000,0.37
14,45,Entry short,sell,2020-03-31T10:45:00+0700,598.5,1,50000,0.08,3840000,384.00,180000,0.30,190000,0.32
14,47,Exit short,buy,2020-03-31T11:15:00+0700,598,1,50000,0.08,3840000,384.00,180000,0.30,190000,0.32
15,47,Entry long,buy,2020-03-31T11:15:00+0700,598,1,390000,0.65,4230000,423.00,420000,0.70,140000,0.23
15,48,Exit long,sell,2020-03-31T11:30:00+0700,601.9,1,390000,0.65,4230000,423.00,420000,0.70,140000,0.23
16,48,Entry short,sell,2020-03-31T11:30:00+0700,601.9,1,1090000,1.81,5320000,532.00,4180000,6.94,10000,0.02
16,62,Exit short,buy,2020-04-01T10:15:00+0700,591,1,1090000,1.81,5320000,532.00,4180000,6.94,10000,0.02
17,62,Entry long,buy,2020-04-01T10:15:00+0700,591,1,630000,1.07,5950000,595.00,630000,1.07,130000,0.22
17,63,Exit long,sell,2020-04-01T10:30:00+0700,597.3,1,630000,1.07,5950000,595.00,630000,1.07,130000,0.22
18,63,Entry short,sell,2020-04-01T10:30:00+0700,597.3,1,0,-0.00,5950000,595.00,90000,0.15,370000,0.62
18,65,Exit short,buy,2020-04-01T11:00:00+0700,597.3,1,0,-0.00,5950000,595.00,90000,0.15,370000,0.62
19,65,Entry long,buy,2020-04-01T11:00:00+0700,597.3,1,40000,0.07,5990000,599.00,210000,0.35,20000,0.03
19,66,Exit long,sell,2020-04-01T11:15:00+0700,597.7,1,40000,0.07,5990000,599.00,210000,0.35,20000,0.03
20,66,Entry short,sell,2020-04-01T11:15:00+0700,597.7,1,70000,0.12,6060000,606.00,360000,0.60,10000,0.02
20,67,Exit short,buy,2020-04-01T11:30:00+0700,597,1,70000,0.12,6060000,606.00,360000,0.60,10000,0.02
21,67,Entry long,buy,2020-04-01T11:30:00+0700,597,1,1220000,2.04,7280000,728.00,1260000,2.11,1800000,3.02
21,77,Exit long,sell,2020-04-03T09:15:00+0700,609.2,1,1220000,2.04,7280000,728.00,1260000,2.11,1800000,3.02
22,77,Entry short,sell,2020-04-03T09:15:00+0700,609.2,1,-10000,-0.02,7270000,727.00,60000,0.10,260000,0.43
22,79,Exit short,buy,2020-04-03T09:45:00+0700,609.3,1,-10000,-0.02,7270000,727.00,60000,0.10,260000,0.43
23,79,Entry long,buy,2020-04-03T09:45:00+0700,609.3,1,-10000,-0.02,7260000,726.00,30000,0.05,250000,0.41
23,82,Exit long,sell,2020-04-03T10:30:00+0700,609.2,1,-10000,-0.02,7260000,726.00,30000,0.05,250000,0.41
24,82,Entry short,sell,2020-04-03T10:30:00+0700,609.2,1,120000,0.20,7380000,738.00,150000,0.25,60000,0.10
24,83,Exit short,buy,2020-04-03T10:45:00+0700,608,1,120000,0.20,7380000,738.00,150000,0.25,60000,0.10
25,83,Entry long,buy,2020-04-03T10:45:00+0700,608,1,210000,0.35,7590000,759.00,310000,0.51,450000,0.74
25,88,Exit long,sell,2020-04-03T13:15:00+0700,610.1,1,210000,0.35,7590000,759.00,310000,0.51,450000,0.74
26,88,Entry short,sell,2020-04-03T13:15:00+0700,610.1,1,-3170000,-5.20,4420000,442.00,130000,0.21,3490000,5.72
26,97,Exit short,buy,2020-04-06T09:30:00+0700,641.8,1,-3170000,-5.20,4420000,442.00,130000,0.21,3490000,5.72
27,97,Entry long,buy,2020-04-06T09:30:00+0700,641.8,1,90000,0.14,4510000,451.00,140000,0.22,50000,0.08
27,98,Exit long,sell,2020-04-06T09:45:00+0700,642.7,1,90000,0.14,4510000,451.00,140000,0.22,50000,0.08
28,98,Entry short,sell,2020-04-06T09:45:00+0700,642.7,1,100000,0.16,4610000,461.00,150000,0.23,10000,0.02
28,99,Exit short,buy,2020-04-06T10:00:00+0700,641.7,1,100000,0.16,4610000,461.00,150000,0.23,10000,0.02
29,99,Entry long,buy,2020-04-06T10:00:00+0700,641.7,1,-20000,-0.03,4590000,459.00,30000,0.05,180000,0.28
