Trade #,Bar Index,Type,Signal,Date/Time,Price VND,Contracts,Profit VND,Profit %,Cumulative profit VND,Cumulative profit %,Run-up VND,Run-up %,Drawdown VND,Drawdown %
1,33,Entry long,EL,2020-03-30T13:45:00+0700,591.8,1,-680000,-1.15,-680000,-68.00,20000,0.03,770000,1.30
1,34,Exit long,ES,2020-03-30T14:00:00+0700,585,1,-680000,-1.15,-680000,-68.00,20000,0.03,770000,1.30
2,34,Entry short,ES,2020-03-30T14:00:00+0700,585,1,-130000,-0.22,-810000,-81.00,330000,0.56,340000,0.58
2,36,Exit short,EL,2020-03-30T14:30:00+0700,586.3,1,-130000,-0.22,-810000,-81.00,330000,0.56,340000,0.58
3,36,Entry long,EL,2020-03-30T14:30:00+0700,586.3,1,560000,0.96,-250000,-25.00,70000,0.12,330000,0.56
3,38,Exit long,ES,2020-03-31T09:00:00+0700,591.9,1,560000,0.96,-250000,-25.00,70000,0.12,330000,0.56
4,38,Entry short,ES,2020-03-31T09:00:00+0700,591.9,1,-460000,-0.78,-710000,-71.00,40000,0.07,500000,0.84
4,39,Exit short,EL,2020-03-31T09:15:00+0700,596.5,1,-460000,-0.78,-710000,-71.00,40000,0.07,500000,0.84
5,39,Entry long,EL,2020-03-31T09:15:00+0700,596.5,1,-2470000,-4.14,-3180000,-318.00,570000,0.96,3640000,6.10
5,50,Exit long,ES,2020-03-31T13:15:00+0700,571.8,1,-2470000,-4.14,-3180000,-318.00,570000,0.96,3640000,6.10
6,50,Entry short,ES,2020-03-31T13:15:00+0700,571.8,1,-1520000,-2.66,-4700000,-470.00,620000,1.08,1680000,2.94
6,59,Exit short,EL,2020-04-01T09:30:00+0700,587,1,-1520000,-2.66,-4700000,-470.00,620000,1.08,1680000,2.94
7,59,Entry long,EL,2020-04-01T09:30:00+0700,587,1,40000,0.07,-4660000,-466.00,80000,0.14,130000,0.22
7,60,Exit long,ES,2020-04-01T09:45:00+0700,587.4,1,40000,0.07,-4660000,-466.00,80000,0.14,130000,0.22
8,60,Entry short,ES,2020-04-01T09:45:00+0700,587.4,1,-440000,-0.75,-5100000,-510.00,150000,0.26,520000,0.89
8,61,Exit short,EL,2020-04-01T10:00:00+0700,591.8,1,-440000,-0.75,-5100000,-510.00,150000,0.26,520000,0.89
9,61,Entry long,EL,2020-04-01T10:00:00+0700,591.8,1,1320000,2.23,-3780000,-378.00,2000000,3.38,1280000,2.16
9,85,Exit long,ES,2020-04-03T11:15:00+0700,605,1,1320000,2.23,-3780000,-378.00,2000000,3.38,1280000,2.16
10,85,Entry short,ES,2020-04-03T11:15:00+0700,605,1,10000,0.02,-3770000,-377.00,150000,0.25,90000,0.15
10,86,Exit short,EL,2020-04-03T11:30:00+0700,604.9,1,10000,0.02,-3770000,-377.00,150000,0.25,90000,0.15
11,86,Entry long,EL,2020-04-03T11:30:00+0700,604.9,1,460000,0.76,-3310000,-331.00,620000,1.02,0,0.00
11,89,Exit long,ES,2020-04-03T13:30:00+0700,609.5,1,460000,0.76,-3310000,-331.00,620000,1.02,0,0.00
12,89,Entry short,ES,2020-04-03T13:30:00+0700,609.5,1,-3240000,-5.32,-6550000,-655.00,20000,0.03,3550000,5.82
12,96,Exit short,EL,2020-04-06T09:15:00+0700,641.9,1,-3240000,-5.32,-6550000,-655.00,20000,0.03,3550000,5.82
13,96,Entry long,EL,2020-04-06T09:15:00+0700,641.9,1,1310000,2.04,-5240000,-524.00,1430000,2.23,200000,0.31
13,108,Exit long,ES,2020-04-06T13:30:00+0700,655,1,1310000,2.04,-5240000,-524.00,1430000,2.23,200000,0.31
14,108,Entry short,ES,2020-04-06T13:30:00+0700,655,1,-1820000,-2.78,-7060000,-706.00,140000,0.21,2300000,3.51
14,114,Exit short,EL,2020-04-07T09:15:00+0700,673.2,1,-1820000,-2.78,-7060000,-706.00,140000,0.21,2300000,3.51
15,114,Entry long,EL,2020-04-07T09:15:00+0700,673.2,1,-1060000,-1.57,-8120000,-812.00,0,0.00,1290000,1.92
15,115,Exit long,ES,2020-04-07T09:30:00+0700,662.6,1,-1060000,-1.57,-8120000,-812.00,0,0.00,1290000,1.92
16,115,Entry short,ES,2020-04-07T09:30:00+0700,662.6,1,-400000,-0.60,-8520000,-852.00,10000,0.02,400000,0.60
16,116,Exit short,EL,2020-04-07T09:45:00+0700,666.6,1,-400000,-0.60,-8520000,-852.00,10000,0.02,400000,0.60
17,116,Entry long,EL,2020-04-07T09:45:00+0700,666.6,1,-710000,-1.07,-9230000,-923.00,1540000,2.31,960000,1.44
17,133,Exit long,ES,2020-04-08T09:15:00+0700,659.5,1,-710000,-1.07,-9230000,-923.00,1540000,2.31,960000,1.44
18,133,Entry short,ES,2020-04-08T09:15:00+0700,659.5,1,50000,0.08,-9180000,-918.00,200000,0.30,690000,1.05
18,145,Exit short,EL,2020-04-08T13:30:00+0700,659,1,50000,0.08,-9180000,-918.00,200000,0.30,690000,1.05
19,145,Entry long,EL,2020-04-08T13:30:00+0700,659,1,2220000,3.37,-6960000,-696.00,2590000,3.93,10000,0.02
19,161,Exit long,ES,2020-04-09T11:30:00+0700,681.2,1,2220000,3.37,-6960000,-696.00,2590000,3.93,10000,0.02
20,161,Entry short,ES,2020-04-09T11:30:00+0700,681.2,1,-530000,-0.78,-7490000,-749.00,20000,0.03,600000,0.88
20,163,Exit short,EL,2020-04-09T13:15:00+0700,686.5,1,-530000,-0.78,-7490000,-749.00,20000,0.03,600000,0.88
21,163,Entry long,EL,2020-04-09T13:15:00+0700,686.5,1,60000,0.09,-7430000,-743.00,220000,0.32,70000,0.10
21,164,Exit long,ES,2020-04-09T13:30:00+0700,687.1,1,60000,0.09,-7430000,-743.00,220000,0.32,70000,0.10
22,164,Entry short,ES,2020-04-09T13:30:00+0700,687.1,1,430000,0.63,-7000000,-700.00,1250000,1.82,230000,0.33
22,180,Exit short,EL,2020-04-10T11:30:00+0700,682.8,1,430000,0.63,-7000000,-700.00,1250000,1.82,230000,0.33
23,180,Entry long,EL,2020-04-10T11:30:00+0700,682.8,1,-490000,-0.72,-7490000,-749.00,310000,0.45,630000,0.92
23,183,Exit long,ES,2020-04-10T13:30:00+0700,677.9,1,-490000,-0.72,-7490000,-749.00,310000,0.45,630000,0.92
24,183,Entry short,ES,2020-04-10T13:30:00+0700,677.9,1,-160000,-0.24,-7650000,-765.00,580000,0.86,190000,0.28
24,186,Exit short,EL,2020-04-10T14:15:00+0700,679.5,1,-160000,-0.24,-7650000,-765.00,580000,0.86,190000,0.28
25,186,Entry long,EL,2020-04-10T14:15:00+0700,679.5,1,180000,0.26,-7470000,-747.00,320000,0.47,330000,0.49
25,190,Exit long,ES,2020-04-13T09:15:00+0700,681.3,1,180000,0.26,-7470000,-747.00,320000,0.47,330000,0.49
26,190,Entry short,ES,2020-04-13T09:15:00+0700,681.3,1,-110000,-0.16,-7580000,-758.00,40000,0.06,160000,0.23
26,191,Exit short,EL,2020-04-13T09:30:00+0700,682.4,1,-110000,-0.16,-7580000,-758.00,40000,0.06,160000,0.23
27,191,Entry long,EL,2020-04-13T09:30:00+0700,682.4,1,10000,0.01,-7570000,-757.00,130000,0.19,100000,0.15
27,192,Exit long,ES,2020-04-13T09:45:00+0700,682.5,1,10000,0.01,-7570000,-757.00,130000,0.19,100000,0.15
28,192,Entry short,ES,2020-04-13T09:45:00+0700,682.5,1,-1420000,-2.08,-8990000,-899.00,0,0.00,1680000,2.46
28,209,Exit short,EL,2020-04-14T09:15:00+0700,696.7,1,-1420000,-2.08,-8990000,-899.00,0,0.00,1680000,2.46
29,209,Entry long,EL,2020-04-14T09:15:00+0700,696.7,1,-170000,-0.24,-9160000,-916.00,260000,0.37,220000,0.32
29,213,Exit long,ES,2020-04-14T10:15:00+0700,695,1,-170000,-0.24,-9160000,-916.00,260000,0.37,220000,0.32
30,213,Entry short,ES,2020-04-14T10:15:00+0700,695,1,260000,0.37,-8900000,-890.00,300000,0.43,150000,0.22
30,216,Exit short,EL,2020-04-14T11:00:00+0700,692.4,1,260000,0.37,-8900000,-890.00,300000,0.43,150000,0.22
31,216,Entry long,EL,2020-04-14T11:00:00+0700,692.4,1,2230000,3.22,-6670000,-667.00,2370000,3.42,430000,0.62
31,237,Exit long,ES,2020-04-15T11:30:00+0700,714.7,1,2230000,3.22,-6670000,-667.00,2370000,3.42,430000,0.62
32,237,Entry short,ES,2020-04-15T11:30:00+0700,714.7,1,-240000,-0.34,-6910000,-691.00,270000,0.38,370000,0.52
32,239,Exit short,EL,2020-04-15T13:15:00+0700,717.1,1,-240000,-0.34,-6910000,-691.00,270000,0.38,370000,0.52
33,239,Entry long,EL,2020-04-15T13:15:00+0700,717.1,1,40000,0.06,-6870000,-687.00,240000,0.33,0,0.00
33,240,Exit long,ES,2020-04-15T13:30:00+0700,717.5,1,40000,0.06,-6870000,-687.00,240000,0.33,0,0.00
34,240,Entry short,ES,2020-04-15T13:30:00+0700,717.5,1,30000,0.04,-6840000,-684.00,350000,0.49,150000,0.21
34,248,Exit short,EL,2020-04-16T09:30:00+0700,717.2,1,30000,0.04,-6840000,-684.00,350000,0.49,150000,0.21
35,248,Entry long,EL,2020-04-16T09:30:00+0700,717.2,1,-30000,-0.04,-6870000,-687.00,150000,0.21,80000,0.11
35,251,Exit long,ES,2020-04-16T10:15:00+0700,716.9,1,-30000,-0.04,-6870000,-687.00,150000,0.21,80000,0.11
36,251,Entry short,ES,2020-04-16T10:15:00+0700,716.9,1,-110000,-0.15,-6980000,-698.00,70000,0.10,160000,0.22
36,252,Exit short,EL,2020-04-16T10:30:00+0700,718,1,-110000,-0.15,-6980000,-698.00,70000,0.10,160000,0.22
37,252,Entry long,EL,2020-04-16T10:30:00+0700,718,1,540000,0.75,-6440000,-644.00,1030000,1.43,20000,0.03
37,265,Exit long,ES,2020-04-17T09:00:00+0700,723.4,1,540000,0.75,-6440000,-644.00,1030000,1.43,20000,0.03
38,265,Entry short,ES,2020-04-17T09:00:00+0700,723.4,1,450000,0.62,-5990000,-599.00,740000,1.02,70000,0.10
38,280,Exit short,EL,2020-04-17T14:00:00+0700,718.9,1,450000,0.62,-5990000,-599.00,740000,1.02,70000,0.10
39,280,Entry long,EL,2020-04-17T14:00:00+0700,718.9,1,-590000,-0.82,-6580000,-658.00,10000,0.01,720000,1.00
39,281,Exit long,ES,2020-04-17T14:15:00+0700,713,1,-590000,-0.82,-6580000,-658.00,10000,0.01,720000,1.00
40,281,Entry short,ES,2020-04-17T14:15:00+0700,713,1,-60000,-0.08,-6640000,-664.00,250000,0.35,350000,0.49
40,284,Exit short,EL,2020-04-20T09:00:00+0700,713.6,1,-60000,-0.08,-6640000,-664.00,250000,0.35,350000,0.49
41,284,Entry long,EL,2020-04-20T09:00:00+0700,713.6,1,430000,0.60,-6210000,-621.00,470000,0.66,30000,0.04
41,285,Exit long,ES,2020-04-20T09:15:00+0700,717.9,1,430000,0.60,-6210000,-621.00,470000,0.66,30000,0.04
42,285,Entry short,ES,2020-04-20T09:15:00+0700,717.9,1,350000,0.49,-5860000,-586.00,610000,0.85,60000,0.08
42,293,Exit short,EL,2020-04-20T11:15:00+0700,714.4,1,350000,0.49,-5860000,-586.00,610000,0.85,60000,0.08
43,293,Entry long,EL,2020-04-20T11:15:00+0700,714.4,1,-1100000,-1.54,-6960000,-696.00,300000,0.42,440000,0.62
43,303,Exit long,ES,2020-04-21T09:00:00+0700,703.4,1,-1100000,-1.54,-6960000,-696.00,300000,0.42,440000,0.62
44,303,Entry short,ES,2020-04-21T09:00:00+0700,703.4,1,3870000,5.50,-3090000,-309.00,4420000,6.28,50000,0.07
44,324,Exit short,EL,2020-04-22T09:30:00+0700,664.7,1,3870000,5.50,-3090000,-309.00,4420000,6.28,50000,0.07
45,324,Entry long,EL,2020-04-22T09:30:00+0700,664.7,1,1830000,2.75,-1260000,-126.00,3110000,4.68,20000,0.03
45,347,Exit long,ES,2020-04-23T10:30:00+0700,683,1,1830000,2.75,-1260000,-126.00,3110000,4.68,20000,0.03
46,347,Entry short,ES,2020-04-23T10:30:00+0700,683,1,-560000,-0.82,-1820000,-182.00,240000,0.35,700000,1.02
46,353,Exit short,EL,2020-04-23T13:15:00+0700,688.6,1,-560000,-0.82,-1820000,-182.00,240000,0.35,700000,1.02
47,353,Entry long,EL,2020-04-23T13:15:00+0700,688.6,1,-200000,-0.29,-2020000,-202.00,110000,0.16,330000,0.48
47,354,Exit long,ES,2020-04-23T13:30:00+0700,686.6,1,-200000,-0.29,-2020000,-202.00,110000,0.16,330000,0.48
48,354,Entry short,ES,2020-04-23T13:30:00+0700,686.6,1,500000,0.73,-1520000,-152.00,1160000,1.69,210000,0.31
48,367,Exit short,EL,2020-04-24T10:45:00+0700,681.6,1,500000,0.73,-1520000,-152.00,1160000,1.69,210000,0.31
49,367,Entry long,EL,2020-04-24T10:45:00+0700,681.6,1,190000,0.28,-1330000,-133.00,280000,0.41,110000,0.16
49,368,Exit long,ES,2020-04-24T11:00:00+0700,683.5,1,190000,0.28,-1330000,-133.00,280000,0.41,110000,0.16
50,368,Entry short,ES,2020-04-24T11:00:00+0700,683.5,1,-390000,-0.57,-1720000,-172.00,120000,0.18,400000,0.59
50,370,Exit short,EL,2020-04-24T11:30:00+0700,687.4,1,-390000,-0.57,-1720000,-172.00,120000,0.18,400000,0.59
51,370,Entry long,EL,2020-04-24T11:30:00+0700,687.4,1,1060000,1.54,-660000,-66.00,2260000,3.29,490000,0.71
