Trade #,Bar Index,Type,Signal,Date/Time,Price VND,Contracts,Profit VND,Profit %,Cumulative profit VND,Cumulative profit %,Run-up VND,Run-up %,Drawdown VND,Drawdown %
1,39,Entry long,Long,2020-03-31T09:15:00+0700,596.5,1,-2420000,-4.06,-2420000,-242.00,570000,0.96,3640000,6.10
1,53,Exit long,Close entry(s) order Long,2020-03-31T14:00:00+0700,572.3,1,-2420000,-4.06,-2420000,-242.00,570000,0.96,3640000,6.10
2,64,Entry long,Long,2020-04-01T10:45:00+0700,598.2,1,6460000,10.80,4040000,404.00,8380000,14.01,1920000,3.21
2,139,Exit long,Close entry(s) order Long,2020-04-08T10:45:00+0700,662.8,1,6460000,10.80,4040000,404.00,8380000,14.01,1920000,3.21
3,151,Entry long,Long,2020-04-09T09:00:00+0700,681,1,-270000,-0.40,3770000,377.00,840000,1.23,640000,0.94
3,174,Exit long,Close entry(s) order Long,2020-04-10T10:00:00+0700,678.3,1,-270000,-0.40,3770000,377.00,840000,1.23,640000,0.94
4,195,Entry long,Long,2020-04-13T10:30:00+0700,688.4,1,360000,0.52,4130000,413.00,1090000,1.58,410000,0.60
4,222,Exit long,Close entry(s) order Long,2020-04-14T13:45:00+0700,692,1,360000,0.52,4130000,413.00,1090000,1.58,410000,0.60
5,226,Entry long,Long,2020-04-14T14:45:00+0700,705.2,1,1220000,1.73,5350000,535.00,2310000,3.28,0,0.00
5,270,Exit long,Close entry(s) order Long,2020-04-17T10:15:00+0700,717.4,1,1220000,1.73,5350000,535.00,2310000,3.28,0,0.00
6,334,Entry long,Long,2020-04-22T13:15:00+0700,678.3,1,830000,1.22,6180000,618.00,1750000,2.58,40000,0.06
6,354,Exit long,Close entry(s) order Long,2020-04-23T13:30:00+0700,686.6,1,830000,1.22,6180000,618.00,1750000,2.58,40000,0.06
7,373,Entry long,Long,2020-04-24T13:30:00+0700,685.5,1,500000,0.73,6680000,668.00,2450000,3.57,190000,0.28
