Trade #,Bar Index,Type,Signal,Date/Time,Price VND,Contracts,Profit VND,Profit %,Cumulative profit VND,Cumulative profit %,Run-up VND,Run-up %,Drawdown VND,Drawdown %
1,45,Entry long,Long ID,2020-03-31T10:45:00+0700,598.5,1,-2440000,-4.08,-2440000,-244.00,370000,0.62,3840000,6.42
1,55,Exit long,Short ID,2020-03-31T14:30:00+0700,574.1,1,-2440000,-4.08,-2440000,-244.00,370000,0.62,3840000,6.42
2,55,Entry short,Short ID,2020-03-31T14:30:00+0700,574.1,1,-1140000,-1.99,-3580000,-358.00,0,0.00,2690000,4.69
2,68,Exit short,Long ID,2020-04-01T13:00:00+0700,585.5,1,-1140000,-1.99,-3580000,-358.00,0,0.00,2690000,4.69
3,68,Entry long,Long ID,2020-04-01T13:00:00+0700,585.5,1,7600000,12.98,4020000,402.00,9650000,16.48,650000,1.11
3,143,Exit long,Short ID,2020-04-08T13:00:00+0700,661.5,1,7600000,12.98,4020000,402.00,9650000,16.48,650000,1.11
4,143,Entry short,Short ID,2020-04-08T13:00:00+0700,661.5,1,-1980000,-2.99,2040000,204.00,400000,0.60,2080000,3.14
4,154,Exit short,Long ID,2020-04-09T09:45:00+0700,681.3,1,-1980000,-2.99,2040000,204.00,400000,0.60,2080000,3.14
5,154,Entry long,Long ID,2020-04-09T09:45:00+0700,681.3,1,40000,0.06,2080000,208.00,810000,1.19,670000,0.98
5,179,Exit long,Short ID,2020-04-10T11:15:00+0700,681.7,1,40000,0.06,2080000,208.00,810000,1.19,670000,0.98
6,179,Entry short,Short ID,2020-04-10T11:15:00+0700,681.7,1,-220000,-0.32,1860000,186.00,960000,1.41,420000,0.62
6,193,Exit short,Long ID,2020-04-13T10:00:00+0700,683.9,1,-220000,-0.32,1860000,186.00,960000,1.41,420000,0.62
7,193,Entry long,Long ID,2020-04-13T10:00:00+0700,683.9,1,3490000,5.10,5350000,535.00,4440000,6.49,0,0.00
7,275,Exit long,Short ID,2020-04-17T11:30:00+0700,718.8,1,3490000,5.10,5350000,535.00,4440000,6.49,0,0.00
8,275,Entry short,Short ID,2020-04-17T11:30:00+0700,718.8,1,3500000,4.87,8850000,885.00,5960000,8.29,170000,0.24
8,338,Exit short,Long ID,2020-04-22T14:15:00+0700,683.8,1,3500000,4.87,8850000,885.00,5960000,8.29,170000,0.24
9,338,Entry long,Long ID,2020-04-22T14:15:00+0700,683.8,1,-380000,-0.56,8470000,847.00,1200000,1.75,490000,0.72
9,360,Exit long,Short ID,2020-04-24T09:00:00+0700,680,1,-380000,-0.56,8470000,847.00,1200000,1.75,490000,0.72
10,360,Entry short,Short ID,2020-04-24T09:00:00+0700,680,1,-1650000,-2.43,6820000,682.00,500000,0.74,1830000,2.69
10,377,Exit short,Long ID,2020-04-24T14:30:00+0700,696.5,1,-1650000,-2.43,6820000,682.00,500000,0.74,1830000,2.69
11,377,Entry long,Long ID,2020-04-24T14:30:00+0700,696.5,1,-470000,-0.67,6350000,635.00,1350000,1.94,810000,1.16
11,399,Exit long,Short ID,2020-04-28T09:15:00+0700,691.8,1,-470000,-0.67,6350000,635.00,1350000,1.94,810000,1.16
12,399,Entry short,Short ID,2020-04-28T09:15:00+0700,691.8,1,-400000,-0.58,5950000,595.00,760000,1.10,960000,1.39
12,417,Exit short,Long ID,2020-04-29T09:00:00+0700,695.8,1,-400000,-0.58,5950000,595.00,760000,1.10,960000,1.39
13,417,Entry long,Long ID,2020-04-29T09:00:00+0700,695.8,1,-950000,-1.37,5000000,500.00,1020000,1.47,1580000,2.27
13,440,Exit long,Short ID,2020-05-04T10:00:00+0700,686.3,1,-950000,-1.37,5000000,500.00,1020000,1.47,1580000,2.27
14,440,Entry short,Short ID,2020-05-04T10:00:00+0700,686.3,1,-710000,-1.03,4290000,429.00,230000,0.34,930000,1.36
14,464,Exit short,Long ID,2020-05-05T11:15:00+0700,693.4,1,-710000,-1.03,4290000,429.00,230000,0.34,930000,1.36
15,464,Entry long,Long ID,2020-05-05T11:15:00+0700,693.4,1,6710000,9.68,11000000,1100.00,9900000,14.28,150000,0.22
15,538,Exit long,Short ID,2020-05-11T10:45:00+0700,760.5,1,6710000,9.68,11000000,1100.00,9900000,14.28,150000,0.22
16,538,Entry short,Short ID,2020-05-11T10:45:00+0700,760.5,1,670000,0.88,11670000,1167.00,1200000,1.58,940000,1.24
16,545,Exit short,Long ID,2020-05-11T13:45:00+0700,753.8,1,670000,0.88,11670000,1167.00,1200000,1.58,940000,1.24
17,545,Entry long,Long ID,2020-05-11T13:45:00+0700,753.8,1,920000,1.22,12590000,1259.00,930000,1.23,450000,0.60
17,547,Exit long,Short ID,2020-05-11T14:15:00+0700,763,1,920000,1.22,12590000,1259.00,930000,1.23,450000,0.60
18,547,Entry short,Short ID,2020-05-11T14:15:00+0700,763,1,400000,0.52,12990000,1299.00,170000,0.22,190000,0.25
18,550,Exit short,Long ID,2020-05-12T09:00:00+0700,759,1,400000,0.52,12990000,1299.00,170000,0.22,190000,0.25
19,550,Entry long,Long ID,2020-05-12T09:00:00+0700,759,1,-420000,-0.55,12570000,1257.00,540000,0.71,900000,1.19
19,559,Exit long,Short ID,2020-05-12T11:15:00+0700,754.8,1,-420000,-0.55,12570000,1257.00,540000,0.71,900000,1.19
20,559,Entry short,Short ID,2020-05-12T11:15:00+0700,754.8,1,-750000,-0.99,11820000,1182.00,650000,0.86,1110000,1.47
20,575,Exit short,Long ID,2020-05-13T10:30:00+0700,762.3,1,-750000,-0.99,11820000,1182.00,650000,0.86,1110000,1.47
21,575,Entry long,Long ID,2020-05-13T10:30:00+0700,762.3,1,770000,1.01,12590000,1259.00,1800000,2.36,230000,0.30
21,601,Exit long,Short ID,2020-05-14T13:30:00+0700,770,1,770000,1.01,12590000,1259.00,1800000,2.36,230000,0.30
22,601,Entry short,Short ID,2020-05-14T13:30:00+0700,770,1,-560000,-0.73,12030000,1203.00,400000,0.52,580000,0.75
22,608,Exit short,Long ID,2020-05-15T09:15:00+0700,775.6,1,-560000,-0.73,12030000,1203.00,400000,0.52,580000,0.75
23,608,Entry long,Long ID,2020-05-15T09:15:00+0700,775.6,1,-890000,-1.15,11140000,1114.00,140000,0.18,1250000,1.61
23,625,Exit long,Short ID,2020-05-15T14:45:00+0700,766.7,1,-890000,-1.15,11140000,1114.00,140000,0.18,1250000,1.61
24,625,Entry short,Short ID,2020-05-15T14:45:00+0700,766.7,1,-1030000,-1.34,10110000,1011.00,0,0.00,1030000,1.34
24,637,Exit short,Long ID,2020-05-18T13:00:00+0700,777,1,-1030000,-1.34,10110000,1011.00,0,0.00,1030000,1.34
25,637,Entry long,Long ID,2020-05-18T13:00:00+0700,777,1,2050000,2.64,12160000,1216.00,3660000,4.71,140000,0.18
25,670,Exit long,Short ID,2020-05-20T10:30:00+0700,797.5,1,2050000,2.64,12160000,1216.00,3660000,4.71,140000,0.18
26,670,Entry short,Short ID,2020-05-20T10:30:00+0700,797.5,1,-1020000,-1.28,11140000,1114.00,350000,0.44,1150000,1.44
