Trade #,Bar Index,Type,Signal,Date/Time,Price VND,Contracts,Profit VND,Profit %,Cumulative profit VND,Cumulative profit %,Run-up VND,Run-up %,Drawdown VND,Drawdown %
1,61,Entry long,Long,2020-04-01T10:00:00+0700,591.8,1,-80000,-0.14,-80000,-8.00,10000,0.02,260000,0.44
1,62,Exit long,Short,2020-04-01T10:15:00+0700,591,1,-80000,-0.14,-80000,-8.00,10000,0.02,260000,0.44
2,62,Entry short,Short,2020-04-01T10:15:00+0700,591,1,-630000,-1.07,-710000,-71.00,130000,0.22,630000,1.07
2,63,Exit short,Long,2020-04-01T10:30:00+0700,597.3,1,-630000,-1.07,-710000,-71.00,130000,0.22,630000,1.07
3,63,Entry long,Long,2020-04-01T10:30:00+0700,597.3,1,-750000,-1.26,-1460000,-146.00,370000,0.62,1830000,3.06
3,69,Exit long,Short,2020-04-01T13:15:00+0700,589.8,1,-750000,-1.26,-1460000,-146.00,370000,0.62,1830000,3.06
4,69,Entry short,Short,2020-04-01T13:15:00+0700,589.8,1,-700000,-1.19,-2160000,-216.00,370000,0.63,790000,1.34
4,73,Exit short,Long,2020-04-01T14:15:00+0700,596.8,1,-700000,-1.19,-2160000,-216.00,370000,0.63,790000,1.34
5,73,Entry long,Long,2020-04-01T14:15:00+0700,596.8,1,700000,1.17,-1460000,-146.00,10000,0.02,680000,1.14
5,76,Exit long,Short,2020-04-03T09:00:00+0700,603.8,1,700000,1.17,-1460000,-146.00,10000,0.02,680000,1.14
6,76,Entry short,Short,2020-04-03T09:00:00+0700,603.8,1,-540000,-0.89,-2000000,-200.00,10000,0.02,580000,0.96
6,77,Exit short,Long,2020-04-03T09:15:00+0700,609.2,1,-540000,-0.89,-2000000,-200.00,10000,0.02,580000,0.96
7,77,Entry long,Long,2020-04-03T09:15:00+0700,609.2,1,6370000,10.46,4370000,437.00,8020000,13.16,570000,0.94
7,185,Exit long,Short,2020-04-10T14:00:00+0700,672.9,1,6370000,10.46,4370000,437.00,8020000,13.16,570000,0.94
8,185,Entry short,Short,2020-04-10T14:00:00+0700,672.9,1,-660000,-0.98,3710000,371.00,70000,0.10,690000,1.03
8,186,Exit short,Long,2020-04-10T14:15:00+0700,679.5,1,-660000,-0.98,3710000,371.00,70000,0.10,690000,1.03
9,186,Entry long,Long,2020-04-10T14:15:00+0700,679.5,1,930000,1.37,4640000,464.00,1980000,2.91,330000,0.49
9,220,Exit long,Short,2020-04-14T13:15:00+0700,688.8,1,930000,1.37,4640000,464.00,1980000,2.91,330000,0.49
10,220,Entry short,Short,2020-04-14T13:15:00+0700,688.8,1,-350000,-0.51,4290000,429.00,0,0.00,410000,0.60
10,221,Exit short,Long,2020-04-14T13:30:00+0700,692.3,1,-350000,-0.51,4290000,429.00,0,0.00,410000,0.60
11,221,Entry long,Long,2020-04-14T13:30:00+0700,692.3,1,2370000,3.42,6660000,666.00,3600000,5.20,80000,0.12
11,278,Exit long,Short,2020-04-17T13:30:00+0700,716,1,2370000,3.42,6660000,666.00,3600000,5.20,80000,0.12
12,278,Entry short,Short,2020-04-17T13:30:00+0700,716,1,-290000,-0.41,6370000,637.00,0,0.00,350000,0.49
12,280,Exit short,Long,2020-04-17T14:00:00+0700,718.9,1,-290000,-0.41,6370000,637.00,0,0.00,350000,0.49
13,280,Entry long,Long,2020-04-17T14:00:00+0700,718.9,1,-590000,-0.82,5780000,578.00,10000,0.01,720000,1.00
13,281,Exit long,Short,2020-04-17T14:15:00+0700,713,1,-590000,-0.82,5780000,578.00,10000,0.01,720000,1.00
14,281,Entry short,Short,2020-04-17T14:15:00+0700,713,1,-490000,-0.69,5290000,529.00,250000,0.35,530000,0.74
14,285,Exit short,Long,2020-04-20T09:15:00+0700,717.9,1,-490000,-0.69,5290000,529.00,250000,0.35,530000,0.74
15,285,Entry long,Long,2020-04-20T09:15:00+0700,717.9,1,-120000,-0.17,5170000,517.00,60000,0.08,180000,0.25
