Metric,All VND,All %,Long VND,Long %,Short VND,Short %
Total P&L,2.5389e+08,25389,,,,
Realized P&L,2.4856e+08,24856,,,,
Unrealized P&L,5330000,533,,,,
Net profit,2.4856e+08,24856,1.9212e+08,19212,56440000,5644
Gross profit,7.5248e+08,75248,4.386e+08,43860,3.1388e+08,31388
Gross loss,5.0392e+08,50392,-2.4648e+08,-24648,-2.5744e+08,-25744
Commission paid,0,,0,,0,
Buy & hold return,2199810,219.981,,,,
Max equity run-up,2.7156e+08,27156,,,,
Max equity drawdown,25730000,2573,,,,
Unrealized max drawdown,29270000,83.647799,,,,
Real max drawdown,6790000,3.9368399,,,,
Max contracts held,1,,1,,0,
,,,,,,
Total trades,1349,,675,,674,
Total open trades,1,,1,,0,
Winning trades,395,,224,,171,
Losing trades,949,,451,,503,
Percent profitable,,29.280949,,33.185185,,25.37092
Avg P&L,184255,18.4255,284622.22,28.462222,83738.872,8.3738872
Avg winning trade,1905012.7,190.50127,1905012.7,190.50127,0,
Avg losing trade,-531001.05,-53.100105,-531001.05,-53.100105,0,
Ratio avg win / avg loss,3.5875873,,3.5875873,,0,
Largest winning trade,12930000,,12930000,,9210000,
Largest winning trade percent,,8.8380041,,8.8380041,,7.8785287
Largest losing trade,-4800000,,-4800000,,-3690000,
Largest losing trade percent,,-2.4748647,,-2.4748647,,-1.9879323
Avg # bars in trades,20.361008,,23.645926,,17.071217,
Avg # bars in winning trades,50.389873,,50.389873,,0,
Avg # bars in losing trades,7.881981,,7.881981,,0,
,,,,,,
Sharpe ratio,0.25872703,,,,,
Sortino ratio,0.5116872,,,,,
Profit factor,1.4932529,,1.4932529,,0,
Margin calls,0,,0,,0,
