Trade #,Bar Index,Type,Signal,Date/Time,Price VND,Contracts,Profit VND,Profit %,Cumulative profit VND,Cumulative profit %,Run-up VND,Run-up %,Drawdown VND,Drawdown %
1,62,Entry long,Long,2020-04-01T10:15:00+0700,592.6,1,-710000,-1.20,-710000,-71.00,840000,1.42,290000,0.49
1,68,Exit long,Short,2020-04-01T13:00:00+0700,585.5,1,-710000,-1.20,-710000,-71.00,840000,1.42,290000,0.49
2,76,Entry long,Long,2020-04-03T09:00:00+0700,603.8,1,11220000,18.58,10510000,1051.00,12450000,20.62,30000,0.05
2,278,Exit long,Short,2020-04-17T13:30:00+0700,716,1,11220000,18.58,10510000,1051.00,12450000,20.62,30000,0.05
3,278,Entry short,Short,2020-04-17T13:30:00+0700,716,1,-230000,-0.32,10280000,1028.00,550000,0.77,350000,0.49
3,285,Exit short,Long,2020-04-20T09:15:00+0700,718.3,1,-230000,-0.32,10280000,1028.00,550000,0.77,350000,0.49
4,285,Entry long,Long,2020-04-20T09:15:00+0700,718.3,1,-220000,-0.31,10060000,1006.00,20000,0.03,220000,0.31
4,286,Exit long,Short,2020-04-20T09:30:00+0700,716.1,1,-220000,-0.31,10060000,1006.00,20000,0.03,220000,0.31
5,286,Entry short,Short,2020-04-20T09:30:00+0700,716.1,1,2860000,3.99,12920000,1292.00,5690000,7.95,130000,0.18
5,337,Exit short,Long,2020-04-22T14:00:00+0700,687.5,1,2860000,3.99,12920000,1292.00,5690000,7.95,130000,0.18
6,337,Entry long,Long,2020-04-22T14:00:00+0700,687.5,1,-630000,-0.92,12290000,1229.00,830000,1.21,630000,0.92
6,349,Exit long,Short,2020-04-23T11:00:00+0700,681.2,1,-630000,-0.92,12290000,1229.00,830000,1.21,630000,0.92
7,349,Entry short,Short,2020-04-23T11:00:00+0700,681.2,1,-430000,-0.63,11860000,1186.00,60000,0.09,430000,0.63
7,351,Exit short,Long,2020-04-23T11:30:00+0700,685.5,1,-430000,-0.63,11860000,1186.00,60000,0.09,430000,0.63
